case_id	taxa	nucleotide_columns	distinct_aligned_sequences	informative_nucleotide_columns	diagnostic_fit_completed	copy_caveat	fcs_omission_status	remaining_taxa_after_fcs_omission	target_original_dS_review_label	multistart_refit_completed	case_specific_review_flags	selection_eligibility	remaining_general_requirements
Aspergillus__5001473at2759__code1	9	360	9	101	True	none_recorded	unchanged_by_declared_fcs_omission	9	0.6001121428965855	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5001660at2759__code1	10	1908	9	543	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8367693644624296	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5001734at2759__code1	10	684	9	198	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.015653437942478	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5001941at2759__code1	10	2301	10	827	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.0735833835926514	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5002334at2759__code1	10	1104	10	428	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.42788461807392	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5002573at2759__code1	10	1125	10	407	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.3742681333972655	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5003022at2759__code1	10	2526	10	849	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8251893226766565	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5003192at2759__code1	10	1416	10	546	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.0296493567953198	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5003205at2759__code1	10	4128	10	1507	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9763579049592679	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5003856at2759__code1	10	912	10	351	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1184827246374343	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5003972at2759__code1	10	765	9	284	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8463940116892444	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5004118at2759__code1	10	657	10	242	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.6409004409392718	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5004265at2759__code1	10	879	9	248	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.7654117790623158	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5004327at2759__code1	10	2373	10	1000	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1562997536616975	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5004391at2759__code1	10	3057	10	932	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.7090290392992561	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5004478at2759__code1	10	1233	10	443	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.4401976703188557	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5004599at2759__code1	10	2181	9	784	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1606938551414985	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005010at2759__code1	10	342	10	114	True	none_recorded	unchanged_by_declared_fcs_omission	10	18.69491553295662	False	tree_pairwise_saturation_warning;near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005174at2759__code1	10	531	9	165	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8977349950011108	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005196at2759__code1	10	1326	10	441	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.0209335348467918	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005215at2759__code1	10	1770	9	573	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8299233395630503	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005217at2759__code1	10	1416	10	532	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9587412522766486	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005274at2759__code1	10	1011	10	377	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.7526991580003213	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005697at2759__code1	10	1728	10	598	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9970687257836561	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005750at2759__code1	10	423	10	124	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9792930570095058	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5005892at2759__code1	10	1080	10	398	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.5130506898136709	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5006326at2759__code1	10	1776	10	551	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.034762765400142	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5006412at2759__code1	10	1614	10	806	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.3433330446453178	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5011777at2759__code1	10	2088	10	887	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.2740053063999761	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013042at2759__code1	10	1191	10	439	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9814293297423742	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013067at2759__code1	10	984	9	230	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.4985767328942904	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013259at2759__code1	9	492	9	141	True	none_recorded	unchanged_by_declared_fcs_omission	9	0.8206133866008128	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013539at2759__code1	10	858	10	286	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.3339313468320726	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013726at2759__code1	10	549	10	202	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8960894255889497	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013738at2759__code1	10	732	10	309	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.4456962969340068	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5013992at2759__code1	10	2445	10	756	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8628697381460824	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5014007at2759__code1	10	1770	10	670	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9651224741294339	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5015403at2759__code1	10	1284	10	437	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.0424010426132702	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5015647at2759__code1	10	2592	10	960	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1427674750508068	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5015712at2759__code1	10	1434	10	524	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.230113030891086	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5015742at2759__code1	10	1422	10	510	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.3457736373914868	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5015876at2759__code1	10	1542	10	563	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8805815182061805	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5017019at2759__code1	10	1170	10	524	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.0904040195928917	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__5018803at2759__code1	10	2652	10	1021	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.2193135061600386	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__529759at2759__code1	10	729	10	203	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.5800231657864569	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__530014at2759__code1	10	2559	10	965	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9680915537616315	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__530740at2759__code1	10	879	10	380	True	none_recorded	unchanged_by_declared_fcs_omission	10	3.5796277838379607	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__538728at2759__code1	10	1563	9	650	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.3624809395212618	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__538952at2759__code1	10	1503	10	564	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1615293432099814	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__539632at2759__code1	10	915	10	236	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.5697046694660062	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__540946at2759__code1	10	1299	10	467	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.0893801822965385	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__541070at2759__code1	9	714	9	241	True	none_recorded	unchanged_by_declared_fcs_omission	9	0.5781270362143712	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__554735at2759__code1	10	756	10	204	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.5890355291904772	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__649304at2759__code1	10	933	10	345	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.8776568618720251	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__707076at2759__code1	10	783	9	274	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.3072048323501801	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__707202at2759__code1	10	1065	9	382	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9840373787913881	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__727964at2759__code1	10	1335	10	540	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.5952271274277086	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__730114at2759__code1	10	1605	10	523	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.941664905202912	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__760428at2759__code1	10	1164	10	462	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.9901777718996887	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__776280at2759__code1	10	1476	9	688	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.7951616740410046	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__801816at2759__code1	10	558	10	178	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1016439008321972	False	tree_parameter_boundary_warning;near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__115730at2759__code12	4	693	4	26	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.8762907087573741	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__160487at2759__code12	4	2610	4	147	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.4806980844424622	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__207567at2759__code12	4	540	4	22	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.2243346337440575	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__260326at2759__code12	4	510	4	28	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.975651370480064	False	tree_parameter_boundary_warning;tree_nni_convergence_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__2852757at2759__code12	4	1398	4	129	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.7891979903915259	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__288615at2759__code12	4	1794	4	125	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.5755994630021055	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__319730at2759__code12	4	1335	4	76	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.3705043093891437	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__345792at2759__code12	4	840	4	41	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.26840917465914615	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4613677at2759__code12	4	348	4	42	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.1385541174302805	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4695236at2759__code12	4	3195	4	229	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.5054215820278738	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4747214at2759__code12	4	414	4	21	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.39338841698414434	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4764044at2759__code12	4	1200	4	89	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.8133044681162452	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4810093at2759__code12	4	2226	4	166	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.9288605395442284	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4823929at2759__code12	4	1200	4	123	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.4952261679699856	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4837017at2759__code12	4	666	4	47	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.6735495754953845	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4838864at2759__code12	4	1848	4	188	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.5135914043517784	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4843240at2759__code12	4	1887	4	216	True	none_recorded	unchanged_by_declared_fcs_omission	4	2.1785622358936423	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4843824at2759__code12	4	570	4	41	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.5191101010220123	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4867008at2759__code12	4	537	4	41	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.9016136664741056	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4888252at2759__code12	4	2496	4	249	True	none_recorded	unchanged_by_declared_fcs_omission	4	2.204588155444958	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4896098at2759__code12	4	570	4	49	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.788234785884199	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4900375at2759__code12	4	624	4	74	True	none_recorded	unchanged_by_declared_fcs_omission	4	2.8987907871744327	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4908955at2759__code12	4	795	4	49	True	none_recorded	unchanged_by_declared_fcs_omission	4	29.79333149346538	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4911644at2759__code12	4	2280	4	154	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.5634089259907322	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4969018at2759__code12	4	1374	4	69	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.3562899614226745	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4969990at2759__code12	4	1035	4	118	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.2051593498693887	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4970387at2759__code12	4	450	4	51	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.9717158394848222	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4970538at2759__code12	4	2784	4	201	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.6476393627153607	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4971272at2759__code12	4	1287	4	115	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.1942028782529308	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4974767at2759__code12	4	432	4	35	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.536493079643169	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4975094at2759__code12	4	2877	4	209	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.602214409097162	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4976279at2759__code12	4	1164	4	143	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.7308838646269502	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4977163at2759__code12	4	555	4	42	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.1372019237187851	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4977863at2759__code12	4	1683	4	131	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.8538695484561009	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4983000at2759__code12	4	1122	4	76	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.6134045509475925	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4985971at2759__code12	4	1026	4	75	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.0318301044601803	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4986044at2759__code12	4	1347	4	118	True	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	unchanged_by_declared_fcs_omission	4	0.9146279981124475	False	copy_reconciliation_required	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4987397at2759__code12	4	2499	4	149	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.5108102620226265	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4988239at2759__code12	4	3066	4	261	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.8872108370126881	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__4999134at2759__code12	4	6792	4	588	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.3060725796742998	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000045at2759__code12	4	1041	4	145	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.458203316674668	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000152at2759__code12	4	2409	4	207	True	none_recorded	unchanged_by_declared_fcs_omission	4	17.1011890947657	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000362at2759__code12	4	2022	4	245	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.2604044152470122	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000371at2759__code12	4	1230	4	125	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.795441688964769	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000476at2759__code12	4	1152	4	111	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.921288895902035	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000743at2759__code12	4	432	4	18	True	none_recorded	unchanged_by_declared_fcs_omission	4	25.885526979304817	False	tree_nni_convergence_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000823at2759__code12	4	2244	4	160	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.43900212692772056	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5000986at2759__code12	4	1455	4	164	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.3047193443437122	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5001156at2759__code12	4	933	4	101	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.3681721681459684	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5001273at2759__code12	4	645	4	51	True	none_recorded	unchanged_by_declared_fcs_omission	4	4.210931827705677	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5001280at2759__code12	4	2010	4	246	True	none_recorded	unchanged_by_declared_fcs_omission	4	2.1973292889419764	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5001473at2759__code12	4	348	4	15	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.533165970630548	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5001660at2759__code12	4	1884	4	107	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.4244957782422841	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5002334at2759__code12	4	1011	4	96	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.381172527488963	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5002573at2759__code12	4	1131	4	93	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.9604166329762318	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5003205at2759__code12	4	3864	4	417	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.3451486622882576	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5003856at2759__code12	4	786	4	48	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.947651074066536	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5003972at2759__code12	4	687	4	46	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.7624435291849917	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5004118at2759__code12	4	696	4	62	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.5891408229624602	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5004265at2759__code12	4	774	4	61	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.821824605817653	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5004327at2759__code12	4	2271	4	214	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.056725839111193	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5004391at2759__code12	4	2748	4	202	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.5301132827880475	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5004599at2759__code12	4	2133	4	146	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.716019033155394	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5005010at2759__code12	4	330	4	29	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.6888464509699656	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Candida__5005174at2759__code12	4	516	4	29	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.7730172599921105	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
