representative_input_id	cluster_input_id	source	model_id	taxon_id	protein_id	marker	species_name	study_role	major_lineage
M002577	M005389	AlphaFold	AF-A0A6G1HJU6-F1	F703511	KAF2396280.1	345792at2759	Trichodelitschia bisporula	ingroup	Ascomycota
M002577	M007455	AlphaFold	AF-A0A9P4SJD8-F1	F703506	KAF2843773.1	345792at2759	Patellaria atrata	ingroup	Ascomycota
M002577	M011811	AlphaFold	AF-M7NI06-F1	F263815	XP_007875446.1	345792at2759	Pneumocystis murina	ingroup	Ascomycota
M002577	M012784	AlphaFold	AF-W1QKZ6-F1	F1005962	XP_013937436.1	345792at2759	Ogataea parapolymorpha	ingroup	Ascomycota
M002577	M006720	AlphaFold	AF-A0A8H6C6Y7-F1	F560253	XP_037147455.1	345792at2759	Letharia lupina	ingroup	Ascomycota
M002577	M009073	AlphaFold	AF-A0AAD9YZ25-F1	F209136	KAK3168240.1	345792at2759	Lepraria neglecta	ingroup	Ascomycota
M002577	M016850	ESMFold	ESM-Sb4b958f7a7a512962e2c180158b8837c3749b31ed85184b81c8732738add3c3d-d662a12b8ced	F1214568	XP_052994438.1	345792at2759	Diaporthe amygdali	ingroup	Ascomycota
M002577	M001043	AlphaFold	AF-A0A146FCP4-F1	F1069201	XP_041537110.1	345792at2759	Aspergillus luchuensis	ingroup	Ascomycota
M002577	M002286	AlphaFold	AF-A0A1U7LS06-F1	F48691	OLL25301.1	345792at2759	Neolecta irregularis	ingroup	Ascomycota
M002577	M005023	AlphaFold	AF-A0A6A7BTV4-F1	F147573	KAF2858681.1	345792at2759	Piedraia hortae	ingroup	Ascomycota
M002577	M005668	AlphaFold	AF-A0A7R7VMB8-F1	F182096	XP_043135096.1	345792at2759	Aspergillus chevalieri	ingroup	Ascomycota
M002577	M005764	AlphaFold	AF-A0A7R7XBV4-F1	F1220207	XP_041550605.1	345792at2759	Aspergillus puulaauensis	ingroup	Ascomycota
M002577	M006172	AlphaFold	AF-A0A8E2EI56-F1	F741139	OCK84279.1	345792at2759	Lepidopterella palustris	ingroup	Ascomycota
M002577	M006504	AlphaFold	AF-A0A8H3GCM6-F1	F116794	CAF9937641.1	345792at2759	Heterodermia speciosa	ingroup	Ascomycota
M002577	M007364	AlphaFold	AF-A0A9P4QF34-F1	F705562	KAF2726108.1	345792at2759	Polychaeton citri	ingroup	Ascomycota
M002577	M007607	AlphaFold	AF-A0A9P4YC55-F1	F5116	XP_040781617.1	345792at2759	Cryphonectria parasitica	ingroup	Ascomycota
M002577	M009029	AlphaFold	AF-A0AAD9MDE6-F1	F1825666	KAK2072257.1	345792at2759	Phyllachora maydis	ingroup	Ascomycota
M002577	M010506	AlphaFold	AF-C8VR90-F1	F162425	XP_050469142.1	345792at2759	Aspergillus nidulans	ingroup	Ascomycota
M002577	M010708	AlphaFold	AF-E4V205-F1	F63402	XP_003171078.1	345792at2759	Nannizzia gypsea	ingroup	Ascomycota
M002577	M011625	AlphaFold	AF-J8Q9R4-F1	F706196	EJS44334.1	345792at2759	Saccharomyces arboricola	ingroup	Ascomycota
M002577	M012326	AlphaFold	AF-Q6MY67-F1	F746128	XP_752792.1	345792at2759	Aspergillus fumigatus	ingroup	Ascomycota
M002577	M012600	AlphaFold	AF-S3D8D4-F1	F61273	EPE09690.1	345792at2759	Ophiostoma piceae	ingroup	Ascomycota
M002577	M013380	ESMFold	ESM-S09a9b19f47dd86b6dbcacd8864389891680771e3ff7b61f3ddd597c225f721c8-d662a12b8ced	F5210	XP_046032708.1	345792at2759	Filobasidium floriforme	ingroup	Basidiomycota
M002577	M013604	ESMFold	ESM-S14a53f5f037a556b7583c2a58f10ebdf4228fbd51d35f03b17b6cea3793a3a0b-d662a12b8ced	F5606	XP_019023565.1	345792at2759	Saitoella complicata	ingroup	Ascomycota
M002577	M013735	ESMFold	ESM-S1aa2a63d1cb3f6c95d9eada91211da8ace7cfad71a31753a9a5021f28a88d81a-d662a12b8ced	F208348	XP_053027928.1	345792at2759	Puccinia triticina	ingroup	Basidiomycota
M002577	M014348	ESMFold	ESM-S37d4c8921e1d1688e344e81c1c34546b68dc4dc634f9d840b96510c44af277e8-d662a12b8ced	F203533	KAO0815740.1	345792at2759	Classicula fluitans	ingroup	Basidiomycota
M002577	M014760	ESMFold	ESM-S4cda79086bfe588305e7b65df8dbbfae98ba08425c82b4b546aac2eb02c520a6-d662a12b8ced	F2600216	KAG8854417.1	345792at2759	Serendipita sp. 411	ingroup	Basidiomycota
M002577	M015022	ESMFold	ESM-S582a2a5fb24a2a807a7b689d16815b6ebc50f24006d5d6d180ce2c37f05e0c43-d662a12b8ced	F1145299	KAL8743838.1	345792at2759	Brigantiaea leucoxantha	ingroup	Ascomycota
M002577	M015345	ESMFold	ESM-S68c7fdcd25a5322e1ad4a3855dd32ef9acc4d0d701bc9fcb432c04daf8c8b1b9-d662a12b8ced	F2600215	KAG8869241.1	345792at2759	Serendipita sp. 405	ingroup	Basidiomycota
M002577	M015521	ESMFold	ESM-S7213bdd62dd0e0118361ac3916da6dc2a1cff7f789db097c1a748d09a138b6b3-d662a12b8ced	F610337	KAJ9101333.1	345792at2759	Naganishia cerealis	ingroup	Basidiomycota
M002577	M015618	ESMFold	ESM-S76b3caa0987a5aaf35de8bc0aa0ed815827f8d6860baddfa3084fd31098a4e29-d662a12b8ced	F241526	KAG8203217.1	345792at2759	Candida africana	ingroup	Ascomycota
M002577	M015778	ESMFold	ESM-S7f495535544154e26cc06cea215c7d6b4634d1d4ce5a1af4b334113a5c59727c-d662a12b8ced	F3058885	KAL8824432.1	345792at2759	Dirinaria sp. TL-2023a	ingroup	Ascomycota
M002577	M015962	ESMFold	ESM-S87d3121a3768cc5efa90770925cd78dd77f586f95134233d51c481da1e31564d-d662a12b8ced	F101201	XP_024755703.2	345792at2759	Trichoderma asperellum	ingroup	Ascomycota
M002577	M016391	ESMFold	ESM-S9d019746f1d648fc0b693af27ab7befbda1a09e20d159409f34fe3dc2362b54b-d662a12b8ced	F1209934	XP_060385306.1	345792at2759	Colletotrichum tamarilloi	ingroup	Ascomycota
M002577	M016495	ESMFold	ESM-Sa24e65138f937279eaf051508af19efc0415b768ee454c83680694883c8f8b41-d662a12b8ced	F5479	KAL6450266.1	345792at2759	Candida maltosa	ingroup	Ascomycota
M002577	M016684	ESMFold	ESM-Sab8e8adb850bb72990475e39c6b2406579d422fb972fccf316f4d1382c8ba417-d662a12b8ced	F2486360	XP_062666972.1	345792at2759	Exophiala viscosa	ingroup	Ascomycota
M002577	M017063	ESMFold	ESM-Sc096a8e59b7ff620b43235f43c3a2936a99500ed8471dc43929cf634b6861d56-d662a12b8ced	F76777	XP_018738685.1	345792at2759	Malassezia sympodialis	ingroup	Basidiomycota
M002577	M017158	ESMFold	ESM-Sc4e396481c45a386d2b52376f3f77630fed1df830b3bacbd3ba3148c0cf5861f-d662a12b8ced	F2024903	KAK8194152.1	345792at2759	Zalaria obscura	ingroup	Ascomycota
M002577	M018032	ESMFold	ESM-Sf3b72ee10c0ce1b0b418e0e4808e724c87fd95a983b88a598445c5cbaa019504-d662a12b8ced	F2778381	CAD6587704.1	345792at2759	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	Basidiomycota
M002581	M002581	AlphaFold	AF-A0A261XT76-F1	F1938954	OZJ01559.1	129234at2759	Bifiguratus adelaidae	ingroup	Mucoromycota
M002584	M002584	AlphaFold	AF-A0A261XUF8-F1	F1938954	OZJ01982.1	5003972at2759	Bifiguratus adelaidae	ingroup	Mucoromycota
M002584	M006392	AlphaFold	AF-A0A8H3ESD0-F1	F116794	CAF9910758.1	5003972at2759	Heterodermia speciosa	ingroup	Ascomycota
M002584	M008811	AlphaFold	AF-A0AAD4DR29-F1	F1912939	XP_041217873.1	5003972at2759	Suillus fuscotomentosus	ingroup	Basidiomycota
M002584	M013359	ESMFold	ESM-S08dbb61876de1ad5e4c4c7abfdef2262e3abddd38adf16031dc5df376b451dc2-d662a12b8ced	F48563	XP_041308077.1	5003972at2759	Suillus bovinus	ingroup	Basidiomycota
M002584	M018094	ESMFold	ESM-Sf6e482b51162e2f988c1b7aba22f2adf6f8f8dfa759614ebfe993328491f9e25-d662a12b8ced	F48565	KAG2750549.1	5003972at2759	Suillus brevipes	ingroup	Basidiomycota
M002584	M013873	ESMFold	ESM-S209bd08da5f24790da79a3d315a779560d7019490756382ffebe125bdb6bf993-d662a12b8ced	F112072	KAO0790899.1	5003972at2759	Naohidea sebacea	ingroup	Basidiomycota
M002584	M017399	ESMFold	ESM-Sd1f4279e70c414d705c93cd711829299f68404704830edf46d148d1b2fea64be-d662a12b8ced	F710243	XP_053045012.1	5003972at2759	Colletotrichum fioriniae	ingroup	Ascomycota
M002584	M001654	AlphaFold	AF-A0A1E3NWJ5-F1	F4927	XP_019036577.1	5003972at2759	Hansenula anomala	ingroup	Ascomycota
M002584	M014035	ESMFold	ESM-S28013e85c7ef39f97042172337606e90163c9660770b0f6bb5b41dc53050c801-d662a12b8ced	F5414	KAO0774818.1	5003972at2759	Erythrobasidium hasegawianum	ingroup	Basidiomycota
M002585	M002585	AlphaFold	AF-A0A261XUG7-F1	F1938954	OZJ01992.1	260326at2759	Bifiguratus adelaidae	ingroup	Mucoromycota
M002590	M002590	AlphaFold	AF-A0A286U5J4-F1	F2282107	PAV14827.1	4986044at2759	Pyrrhoderma noxium	ingroup	Basidiomycota
M003717	M003717	AlphaFold	AF-A0A384JVN1-F1	F40559	XP_001545585.2	5013259at2759	Botrytis cinerea	ingroup	Ascomycota
M003770	M003770	AlphaFold	AF-A0A3G2RZG9-F1	F76775	XP_027483019.1	5005750at2759	Malassezia restricta	ingroup	Basidiomycota
M003787	M003787	AlphaFold	AF-A0A420XY76-F1	F177199	RKU40606.1	5005010at2759	Coniochaeta pulveracea	ingroup	Ascomycota
M003787	M010025	AlphaFold	AF-A0AAX4I417-F1	F34406	XP_062775276.1	5005010at2759	Colletotrichum destructivum	ingroup	Ascomycota
M003792	M003792	AlphaFold	AF-A0A420XZD1-F1	F177199	RKU41031.1	5001473at2759	Coniochaeta pulveracea	ingroup	Ascomycota
M004502	M004502	AlphaFold	AF-A0A6A6PAL5-F1	F578093	KAF2460990.1	4940884at2759	Lineolata rhizophorae	ingroup	Ascomycota
M004512	M004512	AlphaFold	AF-A0A6A6PCI2-F1	F578093	KAF2461457.1	5006412at2759	Lineolata rhizophorae	ingroup	Ascomycota
M004512	M006797	AlphaFold	AF-A0A8H6FDA3-F1	F560253	XP_037153195.1	5006412at2759	Letharia lupina	ingroup	Ascomycota
M004512	M010582	AlphaFold	AF-D5GHS2-F1	F39416	XP_002839842.1	5006412at2759	Tuber melanosporum	ingroup	Ascomycota
M004513	M004513	AlphaFold	AF-A0A6A6PCK0-F1	F578093	KAF2461701.1	4977163at2759	Lineolata rhizophorae	ingroup	Ascomycota
M004518	M004518	AlphaFold	AF-A0A6A6PDE9-F1	F578093	KAF2461443.1	5005217at2759	Lineolata rhizophorae	ingroup	Ascomycota
M004518	M000715	AlphaFold	AF-A0A0M8MIN4-F1	F77020	XP_017990868.1	5005217at2759	Malassezia pachydermatis	ingroup	Basidiomycota
M004518	M002036	AlphaFold	AF-A0A1J7JBW3-F1	F177197	OIW27248.1	5005217at2759	Coniochaeta ligniaria	ingroup	Ascomycota
M004518	M002177	AlphaFold	AF-A0A1J9S1P8-F1	F236234	XP_020129841.1	5005217at2759	Diplodia corticola	ingroup	Ascomycota
M004518	M002650	AlphaFold	AF-A0A2G5HMP3-F1	F122368	XP_023452937.1	5005217at2759	Cercospora beticola	ingroup	Ascomycota
M004518	M000246	AlphaFold	AF-A0A084G5X9-F1	F563466	XP_016642540.1	5005217at2759	Scedosporium apiospermum	ingroup	Ascomycota
M004518	M000574	AlphaFold	AF-A0A0G2EZE0-F1	F158046	KKY27952.1	5005217at2759	Phaeomoniella chlamydospora	ingroup	Ascomycota
M004518	M002451	AlphaFold	AF-A0A1Y2DLH1-F1	F1141098	XP_040712428.1	5005217at2759	Pseudomassariella vexata	ingroup	Ascomycota
M004518	M003860	AlphaFold	AF-A0A420YGI2-F1	F177199	RKU46971.1	5005217at2759	Coniochaeta pulveracea	ingroup	Ascomycota
M004518	M007577	AlphaFold	AF-A0A9P4Y4U6-F1	F5116	XP_040777471.1	5005217at2759	Cryphonectria parasitica	ingroup	Ascomycota
M004518	M007855	AlphaFold	AF-A0A9P8DC08-F1	F1042133	XP_044678124.1	5005217at2759	Fusarium musae	ingroup	Ascomycota
M004518	M008740	AlphaFold	AF-A0AA38S365-F1	F41990	KAJ9149814.1	5005217at2759	Pleurostoma richardsiae	ingroup	Ascomycota
M004518	M008946	AlphaFold	AF-A0AAD9HWW3-F1	F1825666	KAK2066445.1	5005217at2759	Phyllachora maydis	ingroup	Ascomycota
M004518	M013006	AlphaFold	AF-W3XJ11-F1	F393283	XP_007830802.1	5005217at2759	Pestalotiopsis fici	ingroup	Ascomycota
M004518	M013117	AlphaFold	AF-W7MYY0-F1	F117187	XP_018759195.1	5005217at2759	Fusarium verticillioides	ingroup	Ascomycota
M004518	M013139	AlphaFold	AF-X0CPA7-F1	F5507	XP_031035161.2	5005217at2759	Fusarium oxysporum	ingroup	Ascomycota
M004518	M003357	AlphaFold	AF-A0A2T4BL43-F1	F58853	XP_024753364.1	5005217at2759	Trichoderma citrinoviride	ingroup	Ascomycota
M004518	M000004	AlphaFold	AF-A0A010QT17-F1	F710243	XP_053049556.1	5005217at2759	Colletotrichum fioriniae	ingroup	Ascomycota
M004518	M001446	AlphaFold	AF-A0A1B8APD5-F1	F36050	XP_044706682.1	5005217at2759	Fusarium poae	ingroup	Ascomycota
M004518	M002912	AlphaFold	AF-A0A2P4ZP40-F1	F398673	XP_018663265.1	5005217at2759	Trichoderma gamsii	ingroup	Ascomycota
M004518	M003214	AlphaFold	AF-A0A2T4AJQ6-F1	F5544	XP_024776978.1	5005217at2759	Trichoderma harzianum	ingroup	Ascomycota
M004518	M003678	AlphaFold	AF-A0A384JG08-F1	F40559	XP_024548525.1	5005217at2759	Botrytis cinerea	ingroup	Ascomycota
M004518	M006612	AlphaFold	AF-A0A8H4C9D8-F1	F474922	XP_045258627.1	5005217at2759	Colletotrichum gloeosporioides	ingroup	Ascomycota
M004518	M007735	AlphaFold	AF-A0A9P6IFM0-F1	F1095194	XP_038747271.1	5005217at2759	Colletotrichum karsti	ingroup	Ascomycota
M004518	M008256	AlphaFold	AF-A0A9P9XL13-F1	F1671311	XP_060396594.1	5005217at2759	Colletotrichum abscissum	ingroup	Ascomycota
M004518	M008307	AlphaFold	AF-A0A9Q8SBQ4-F1	F145971	XP_049136099.1	5005217at2759	Colletotrichum lupini	ingroup	Ascomycota
M004518	M008598	AlphaFold	AF-A0A9W9JQR4-F1	F2034170	XP_056033460.1	5005217at2759	Trichoderma breve	ingroup	Ascomycota
M004518	M008829	AlphaFold	AF-A0AAD5RHF7-F1	F339359	KAJ2893554.1	5005217at2759	Zalerion maritima	ingroup	Ascomycota
M004518	M009303	AlphaFold	AF-A0AAE1I8C0-F1	F173216	XP_062751436.1	5005217at2759	Trichoderma aggressivum	ingroup	Ascomycota
M004518	M009573	AlphaFold	AF-A0AAJ0CBV6-F1	F1093897	XP_060288582.1	5005217at2759	Phialemonium atrogriseum	ingroup	Ascomycota
M004518	M009602	AlphaFold	AF-A0AAJ0E564-F1	F1209916	XP_060317348.1	5005217at2759	Colletotrichum costaricense	ingroup	Ascomycota
M004518	M010058	AlphaFold	AF-A0AAX4IF68-F1	F34406	XP_062778850.1	5005217at2759	Colletotrichum destructivum	ingroup	Ascomycota
M004518	M011214	AlphaFold	AF-H1V5V2-F1	F80884	XP_018154452.1	5005217at2759	Colletotrichum higginsianum	ingroup	Ascomycota
M004518	M011323	AlphaFold	AF-I1S272-F1	F5518	XP_011325531.1	5005217at2759	Fusarium graminearum	ingroup	Ascomycota
M004518	M011392	AlphaFold	AF-J3NT45-F1	F36779	XP_009220504.1	5005217at2759	Gaeumannomyces tritici	ingroup	Ascomycota
M004518	M011655	AlphaFold	AF-K3UEG0-F1	F101028	XP_009261238.1	5005217at2759	Fusarium pseudograminearum	ingroup	Ascomycota
M004518	M012467	AlphaFold	AF-S0E9K9-F1	F5127	XP_023433655.1	5005217at2759	Fusarium fujikuroi	ingroup	Ascomycota
M004518	M003449	AlphaFold	AF-A0A2X0K6I8-F1	F289078	SCZ88532.1	5005217at2759	Microbotryum saponariae	ingroup	Basidiomycota
M004518	M003585	AlphaFold	AF-A0A370TR49-F1	F2656787	XP_031870647.1	5005217at2759	Venustampulla echinocandica	ingroup	Ascomycota
M004518	M003050	AlphaFold	AF-A0A2T3BCC1-F1	F5101	XP_024724585.1	5005217at2759	Amorphotheca resinae	ingroup	Ascomycota
M004518	M006544	AlphaFold	AF-A0A8H3IJ34-F1	F116794	CAF9920663.1	5005217at2759	Heterodermia speciosa	ingroup	Ascomycota
M004518	M004019	AlphaFold	AF-A0A437ADI6-F1	F97331	XP_067494846.1	5005217at2759	Arthrobotrys flagrans	ingroup	Ascomycota
M004518	M004952	AlphaFold	AF-A0A6A6YMA8-F1	F574789	XP_033576677.1	5005217at2759	Mytilinidion resinicola	ingroup	Ascomycota
M004518	M004540	AlphaFold	AF-A0A6A6QG47-F1	F390894	KAF2490976.1	5005217at2759	Lophium mytilinum	ingroup	Ascomycota
M004518	M005159	AlphaFold	AF-A0A6G1FVX4-F1	F1341166	XP_033531565.1	5005217at2759	Eremomyces bilateralis	ingroup	Ascomycota
M004518	M005280	AlphaFold	AF-A0A6G1GQ36-F1	F1176130	KAF1983041.1	5005217at2759	Aulographum hederae	ingroup	Ascomycota
M004518	M005418	AlphaFold	AF-A0A6G1HT22-F1	F703511	KAF2399061.1	5005217at2759	Trichodelitschia bisporula	ingroup	Ascomycota
M004518	M005553	AlphaFold	AF-A0A6P8B1A5-F1	F148305	XP_030980824.1	5005217at2759	Pyricularia grisea	ingroup	Ascomycota
M004518	M005640	AlphaFold	AF-A0A7R7VF97-F1	F182096	XP_043132268.1	5005217at2759	Aspergillus chevalieri	ingroup	Ascomycota
M004518	M005734	AlphaFold	AF-A0A7R7W7C3-F1	F1069201	XP_041541488.1	5005217at2759	Aspergillus luchuensis	ingroup	Ascomycota
M004518	M005805	AlphaFold	AF-A0A7R7XNW4-F1	F1220207	XP_041556856.1	5005217at2759	Aspergillus puulaauensis	ingroup	Ascomycota
M004518	M006347	AlphaFold	AF-A0A8E2JY38-F1	F574774	OCL13880.1	5005217at2759	Glonium stellatum	ingroup	Ascomycota
M004518	M001153	AlphaFold	AF-A0A162ZM23-F1	F5454	XP_038792335.1	5005217at2759	Ascochyta rabiei	ingroup	Ascomycota
M004518	M006484	AlphaFold	AF-A0A8H3FTM5-F1	F1940652	CAF9927111.1	5005217at2759	Gomphillus americanus	ingroup	Ascomycota
M004518	M006755	AlphaFold	AF-A0A8H6CIH9-F1	F560253	XP_037153050.1	5005217at2759	Letharia lupina	ingroup	Ascomycota
M004518	M006867	AlphaFold	AF-A0A8K0KT23-F1	F2601811	KAG8622760.1	5005217at2759	Elsinoe batatas	ingroup	Ascomycota
M004518	M002751	AlphaFold	AF-A0A2K1QHE1-F1	F2082308	PNS14576.1	5005217at2759	Sphaceloma murrayae	ingroup	Ascomycota
M004518	M007096	AlphaFold	AF-A0A9P4IJA9-F1	F1504668	KAF2100672.1	5005217at2759	Rhizodiscina lignyota	ingroup	Ascomycota
M004518	M007172	AlphaFold	AF-A0A9P4J5M7-F1	F147570	KAF2155536.1	5005217at2759	Myriangium duriaei	ingroup	Ascomycota
M004518	M000134	AlphaFold	AF-A0A074XR02-F1	F5580	XP_029760599.1	5005217at2759	Aureobasidium pullulans	ingroup	Ascomycota
M004518	M004848	AlphaFold	AF-A0A6A6WCM9-F1	F470096	XP_033602057.1	5005217at2759	Pseudovirgaria hyperparasitica	ingroup	Ascomycota
M004518	M011051	AlphaFold	AF-G1XKV2-F1	F2813651	XP_011125114.1	5005217at2759	Orbilia oligospora	ingroup	Ascomycota
M004518	M007431	AlphaFold	AF-A0A9P4SDN1-F1	F703506	KAF2840758.1	5005217at2759	Patellaria atrata	ingroup	Ascomycota
M004518	M007479	AlphaFold	AF-A0A9P4UQ54-F1	F705562	KAF2722459.1	5005217at2759	Polychaeton citri	ingroup	Ascomycota
M004518	M008041	AlphaFold	AF-A0A9P8L223-F1	F1670608	KAH0543614.1	5005217at2759	Glutinoglossum americanum	ingroup	Ascomycota
M004518	M008631	AlphaFold	AF-A0AA35J8M8-F1	F114524	XP_056084748.1	5005217at2759	Saccharomyces kudriavzevii	ingroup	Ascomycota
M004518	M011576	AlphaFold	AF-J8PX62-F1	F706196	EJS41963.1	5005217at2759	Saccharomyces arboricola	ingroup	Ascomycota
M004518	M012036	AlphaFold	AF-P53954-F1	F4932	NP_014350.1	5005217at2759	Saccharomyces cerevisiae	ingroup	Ascomycota
M004518	M009168	AlphaFold	AF-A0AAE0DIU1-F1	F209136	KAK3171176.1	5005217at2759	Lepraria neglecta	ingroup	Ascomycota
M004518	M009228	AlphaFold	AF-A0AAE0WLA3-F1	F574656	XP_064691202.1	5005217at2759	Recurvomyces mirabilis	ingroup	Ascomycota
M004518	M006150	AlphaFold	AF-A0A8E2EC61-F1	F741139	OCK81143.1	5005217at2759	Lepidopterella palustris	ingroup	Ascomycota
M004518	M009800	AlphaFold	AF-A0AAV5QK00-F1	F43959	XP_064851951.1	5005217at2759	Saccharomycopsis crataegensis	ingroup	Ascomycota
M004518	M009947	AlphaFold	AF-A0AAV9PCJ6-F1	F1690608	XP_064660104.1	5005217at2759	Saxophila tyrrhenica	ingroup	Ascomycota
M004518	M010138	AlphaFold	AF-A0AB34KHL2-F1	F1052096	XP_069227623.1	5005217at2759	Cladosporium halotolerans	ingroup	Ascomycota
M004518	M010464	AlphaFold	AF-C1HAW8-F1	F1048829	XP_002790143.1	5005217at2759	Paracoccidioides lutzii	ingroup	Ascomycota
M004518	M010800	AlphaFold	AF-E5R1F8-F1	F63402	XP_003177446.1	5005217at2759	Nannizzia gypsea	ingroup	Ascomycota
M004518	M010820	AlphaFold	AF-F0X7E9-F1	F226899	XP_014175754.1	5005217at2759	Leptographium clavigerum	ingroup	Ascomycota
M004518	M011095	AlphaFold	AF-G7DSF0-F1	F34349	XP_014566580.1	5005217at2759	Mixia osmundae	ingroup	Basidiomycota
M004518	M012191	AlphaFold	AF-Q4WJ82-F1	F746128	XP_750438.1	5005217at2759	Aspergillus fumigatus	ingroup	Ascomycota
M004518	M005932	AlphaFold	AF-A0A7U2MDF4-F1	F5059	XP_041142284.1	5005217at2759	Aspergillus flavus	ingroup	Ascomycota
M004518	M012144	AlphaFold	AF-Q2UN63-F1	F5062	XP_001819004.3	5005217at2759	Aspergillus oryzae	ingroup	Ascomycota
M004518	M012593	AlphaFold	AF-S3D2M1-F1	F61273	EPE07540.1	5005217at2759	Ophiostoma piceae	ingroup	Ascomycota
M004518	M012635	AlphaFold	AF-U7PPE3-F1	F29908	XP_016583969.1	5005217at2759	Sporothrix schenckii	ingroup	Ascomycota
M004518	M012272	AlphaFold	AF-Q5B155-F1	F162425	XP_663329.1	5005217at2759	Aspergillus nidulans	ingroup	Ascomycota
M004518	M012780	AlphaFold	AF-W1QKN0-F1	F1005962	XP_013937222.1	5005217at2759	Ogataea parapolymorpha	ingroup	Ascomycota
M004518	M012901	AlphaFold	AF-W2SD47-F1	F293227	XP_008711344.1	5005217at2759	Cyphellophora europaea	ingroup	Ascomycota
M004521	M004521	AlphaFold	AF-A0A6A6PDP6-F1	F578093	KAF2462098.1	5004478at2759	Lineolata rhizophorae	ingroup	Ascomycota
M004521	M000232	AlphaFold	AF-A0A084G1H4-F1	F563466	XP_016640985.1	5004478at2759	Scedosporium apiospermum	ingroup	Ascomycota
M004521	M005589	AlphaFold	AF-A0A6P8BBQ2-F1	F148305	XP_030984575.1	5004478at2759	Pyricularia grisea	ingroup	Ascomycota
M004521	M011424	AlphaFold	AF-J3P4M8-F1	F36779	XP_009224569.1	5004478at2759	Gaeumannomyces tritici	ingroup	Ascomycota
M004521	M000632	AlphaFold	AF-A0A0H2R154-F1	F27342	KLO05012.1	5004478at2759	Schizopora paradoxa	ingroup	Basidiomycota
M004521	M004088	AlphaFold	AF-A0A4R5XF15-F1	F50990	TDL29749.1	5004478at2759	Rickenella mellea	ingroup	Basidiomycota
M004521	M008300	AlphaFold	AF-A0A9Q3BJ42-F1	F181123	MBW0466234.1	5004478at2759	Austropuccinia psidii	ingroup	Basidiomycota
M004521	M001588	AlphaFold	AF-A0A1D2VMM8-F1	F54195	XP_020049112.1	5004478at2759	Ascoidea rubescens	ingroup	Ascomycota
M004521	M006055	AlphaFold	AF-A0A875S2V1-F1	F13502	XP_038778240.1	5004478at2759	Brettanomyces nanus	ingroup	Ascomycota
M004521	M001903	AlphaFold	AF-A0A1E4TVV9-F1	F4918	ODV95876.1	5004478at2759	Pachysolen tannophilus	ingroup	Ascomycota
M004521	M008642	AlphaFold	AF-A0AA35JCK4-F1	F114524	XP_056086230.1	5004478at2759	Saccharomyces kudriavzevii	ingroup	Ascomycota
M004521	M002111	AlphaFold	AF-A0A1J9QXX5-F1	F236234	XP_020129508.1	5004478at2759	Diplodia corticola	ingroup	Ascomycota
M004521	M003419	AlphaFold	AF-A0A2U9R4I5-F1	F4909	XP_029321739.1	5004478at2759	Pichia kudriavzevii	ingroup	Ascomycota
M004521	M004315	AlphaFold	AF-A0A6A6BC90-F1	F462254	XP_033396250.1	5004478at2759	Aplosporella prunicola	ingroup	Ascomycota
M004521	M006256	AlphaFold	AF-A0A8E2F995-F1	F574774	OCL12771.1	5004478at2759	Glonium stellatum	ingroup	Ascomycota
M004521	M002211	AlphaFold	AF-A0A1R1PH89-F1	F1213189	OMH80222.1	5004478at2759	Zancudomyces culisetae	ingroup	Kickxellomycota
M004521	M002549	AlphaFold	AF-A0A1Y2G767-F1	F64571	XP_021875507.1	5004478at2759	Lobosporangium transversale	ingroup	Mortierellomycota
M004521	M002682	AlphaFold	AF-A0A2G5I343-F1	F122368	XP_023457057.1	5004478at2759	Cercospora beticola	ingroup	Ascomycota
M004521	M000177	AlphaFold	AF-A0A074YL08-F1	F5580	XP_029763758.1	5004478at2759	Aureobasidium pullulans	ingroup	Ascomycota
M004521	M001175	AlphaFold	AF-A0A163DS56-F1	F5454	XP_038797205.1	5004478at2759	Ascochyta rabiei	ingroup	Ascomycota
M004521	M002906	AlphaFold	AF-A0A2P4ZN39-F1	F398673	XP_018664006.1	5004478at2759	Trichoderma gamsii	ingroup	Ascomycota
M004521	M002967	AlphaFold	AF-A0A2T3AU86-F1	F5101	XP_024718237.1	5004478at2759	Amorphotheca resinae	ingroup	Ascomycota
M004521	M003111	AlphaFold	AF-A0A2T3ZDV1-F1	F101201	XP_024762637.1	5004478at2759	Trichoderma asperellum	ingroup	Ascomycota
M004521	M003203	AlphaFold	AF-A0A2T4AH08-F1	F5544	XP_024776057.1	5004478at2759	Trichoderma harzianum	ingroup	Ascomycota
M004521	M003265	AlphaFold	AF-A0A2T4B0S2-F1	F58853	XP_024746243.1	5004478at2759	Trichoderma citrinoviride	ingroup	Ascomycota
M004521	M003536	AlphaFold	AF-A0A370TBP4-F1	F2656787	XP_031865609.1	5004478at2759	Venustampulla echinocandica	ingroup	Ascomycota
M004521	M003683	AlphaFold	AF-A0A384JJ13-F1	F40559	XP_024549094.1	5004478at2759	Botrytis cinerea	ingroup	Ascomycota
M004521	M004579	AlphaFold	AF-A0A6A6QVT3-F1	F390894	KAF2496551.1	5004478at2759	Lophium mytilinum	ingroup	Ascomycota
M004521	M004773	AlphaFold	AF-A0A6A6VSM6-F1	F470096	XP_033595058.1	5004478at2759	Pseudovirgaria hyperparasitica	ingroup	Ascomycota
