catalog_source	assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	taxon_name	genus	family	order	class	phylum	kingdom	superkingdom	provisional_proteome_url	selection_status	assembly_choice_reason
genbank_fungi	GCA_056164985.1	PRJNA1336312	SAMN52065015	JBSXOW000000000.1	na	5075	5075	Penicillium camemberti	strain=IMV00769	na	latest	Scaffold	Major	Full	2026-03-20	ASM5616498v1	University of Southern California	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/056/164/985/GCA_056164985.1_ASM5616498v1/	na	na	na	haploid	fungi	36429738	36424492	48.000000	0	3056	3156	University of Southern California	Annotation submitted by University of Southern California	2026-03-20	11921	11743	178	41670438	Penicillium camemberti	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/056/164/985/GCA_056164985.1_ASM5616498v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_028827035.1	PRJNA973687	SAMN30185319	JAPQKU000000000.1	reference genome	5076	5076	Penicillium chrysogenum	strain=IBT 35668	na	latest	Contig	Major	Full	2023-02-23	ASM2882703v1	Aalborg University	GCA_028827035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/035/GCF_028827035.1_ASM2882703v1/	na	na	na	haploid	fungi	32379777	32379777	49.000000	0	4	4	Aalborg University	GCF_028827035.1-RS_2026_02	2026-02-11	11965	11964	0	36726175	Penicillium chrysogenum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/035/GCF_028827035.1_ASM2882703v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_028827155.1	PRJNA973687	SAMN30185321	JAPQKT000000000.1	reference genome	5077	5077	Penicillium citrinum	strain=IBT 23319	na	latest	Contig	Major	Full	2023-02-23	ASM2882715v1	Aalborg University	GCA_028827155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/155/GCF_028827155.1_ASM2882715v1/	na	na	na	haploid	fungi	31396546	31396546	46.500000	0	12	12	Aalborg University	GCF_028827155.1-RS_2026_02	2026-02-11	11657	11657	0	36726175	Penicillium citrinum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/155/GCF_028827155.1_ASM2882715v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001561935.1	PRJNA721990	SAMN03860337	LHQR00000000.1	reference genome	5078	5078	Penicillium griseofulvum	strain=PG3	na	latest	Contig	Major	Full	2016-02-16	ASM156193v1	University of Turin	GCA_001561935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/935/GCF_001561935.1_ASM156193v1/	na	na	na	haploid	fungi	29140916	29140916	47.500000	0	92	92	University of Turin	GCF_001561935.1-RS_2026_02	2026-02-11	9628	9628	0	26729047	Penicillium griseofulvum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/935/GCF_001561935.1_ASM156193v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_015533775.1	PRJNA691334	SAMN14669941	JABCSE000000000.1	reference genome	5082	5082	Penicillium roqueforti	strain=LCP96 04111	na	latest	Scaffold	Major	Full	2020-11-17	ASM1553377v1	Utrecht University	GCA_015533775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/533/775/GCF_015533775.1_ASM1553377v1/	na	na	na	haploid	fungi	26941230	26940775	48.500000	0	83	120	Utrecht University	GCF_015533775.1-RS_2026_02	2026-02-11	9809	9780	29	32846509	Penicillium roqueforti	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/533/775/GCF_015533775.1_ASM1553377v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_028828765.1	PRJNA973687	SAMN30185308	JAQJZN000000000.1	reference genome	5083	5083	Penicillium canescens	strain=IBT 15451	na	latest	Contig	Major	Full	2023-02-23	ASM2882876v1	Aalborg University	GCA_028828765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/828/765/GCF_028828765.1_ASM2882876v1/	na	na	na	haploid	fungi	46284494	46284494	49.000000	0	15	15	Aalborg University	GCF_028828765.1-RS_2026_02	2026-02-11	14211	14184	27	36726175	Penicillium canescens	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/828/765/GCF_028828765.1_ASM2882876v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_042370945.1	PRJNA207868	SAMN02746104	JAZGUB000000000.1	reference genome	1133049	5087	Thermoascus aurantiacus ATCC 26904	strain=ATCC 26904	na	latest	Scaffold	Major	Full	2024-09-19	Theau2	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/370/945/GCA_042370945.1_Theau2/	na	na	na	haploid	fungi	28490209	28434073	52.000000	0	48	196	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-03	8929	8761	164	39266695	Thermoascus aurantiacus	Thermoascus	Thermoascaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/370/945/GCA_042370945.1_Theau2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_041956765.1	PRJNA1175695	SAMN39446921	JAZBRV000000000.1	reference genome	5088	5088	Thermoascus crustaceus	strain=CBS 181.67	na	latest	Scaffold	Major	Full	2024-09-16	Thecr1	DOE Joint Genome Institute	GCA_041956765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/765/GCF_041956765.1_Thecr1/	na	assembly from type material	na	haploid	fungi	31412805	30763865	50.000000	0	35	449	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-23	10634	10411	223	39266695	Thermoascus crustaceus	Thermoascus	Thermoascaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/765/GCF_041956765.1_Thecr1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_025999795.1	PRJDB11993	SAMD00393899	na	reference genome	5098	5098	Monascus purpureus	strain=KUPM5	na	latest	Chromosome	Major	Full	2022-10-06	ASM2599979v1	The United Graduate School of Agricultural Sciences Kagoshima University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/999/795/GCA_025999795.1_ASM2599979v1/	na	na	na	haploid	fungi	24475985	24475985	49.000000	7	10	10	The United Graduate School of Agricultural Sciences Kagoshima University	Annotation submitted by The United Graduate School of Agricultural Sciences Kagoshima University	2022-10-06	9270	9151	119	na	Monascus purpureus	Monascus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/999/795/GCA_025999795.1_ASM2599979v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_003019875.1	PRJNA453595	SAMN00788613	MADK00000000.1	reference genome	857342	5101	Amorphotheca resinae ATCC 22711	strain=ATCC 22711	na	latest	Scaffold	Major	Full	2018-03-27	Amore1	DOE Joint Genome Institute	GCA_003019875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/875/GCF_003019875.1_Amore1/	na	na	na	haploid	fungi	28632918	28460037	47.500000	0	32	309	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2018-04-26	9642	9642	0	29315638	Amorphotheca resinae	Amorphotheca	Amorphothecaceae	Helotiales	Leotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/875/GCF_003019875.1_Amore1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_001636715.1	PRJNA72725	SAMN04908326	AZGZ00000000.1	reference genome	392613	5105	Ascosphaera apis ARSEF 7405	strain=ARSEF 7405	na	latest	Scaffold	Major	Full	2016-05-02	AAP 1.0	Shanghai Institutes for Biological Sciences, CAS	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/715/GCA_001636715.1_AAP_1.0/	na	na	na	haploid	fungi	20313079	20034979	47.500000	0	82	2863	Shanghai Institutes for Biological Sciences, CAS	Annotation submitted by Shanghai Institutes for Biological Sciences, CAS	2016-05-02	6442	6442	0	27071652	Ascosphaera apis	Ascosphaera	Ascosphaeraceae	Onygenales	Eurotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/715/GCA_001636715.1_AAP_1.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_000347355.1	PRJEA76493	SAMEA2272775	CAGA00000000.1	na	1111077	5111	Claviceps purpurea 20.1	strain=20.1	na	latest	Scaffold	Major	Full	2012-08-02	ASM34735v1	Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum Muenchen	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/355/GCA_000347355.1_ASM34735v1/	na	na	na	haploid	fungi	32091443	30901872	52.000000	0	191	1442	Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum Muenchen	Annotation submitted by Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum Muenchen	2013-04-17	8913	8823	45	23468653	Claviceps purpurea	Claviceps	Clavicipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/355/GCA_000347355.1_ASM34735v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_011745365.1	PRJNA722003	SAMN02744051	WHUS00000000.1	reference genome	660469	5116	Cryphonectria parasitica EP155	strain=EP155	na	latest	Scaffold	Major	Full	2020-03-25	Crypa2	DOE Joint Genome Institute	GCA_011745365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/745/365/GCF_011745365.1_Crypa2/	na	na	na	haploid	fungi	43870411	43800411	51.000000	0	26	33	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2021-04-20	11709	11588	119	32207662	Cryphonectria parasitica	Cryphonectria	Cryphonectriaceae	Diaporthales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/745/365/GCF_011745365.1_Crypa2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_900079805.1	PRJNA322155	SAMEA3724789	na	reference genome	1279085	5127	Fusarium fujikuroi IMI 58289	strain=IMI 58289	na	latest	Chromosome	Major	Full	2013-08-20	Fusarium_fujikuroi_IMI58289_V2	HMGU-IBIS	GCA_900079805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/805/GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2/	na	na	na	haploid	fungi	43832314	43807861	47.500000	12	12	65	HMGU-IBIS	Annotation submitted by HMGU-IBIS	2018-02-08	14943	14810	133	23825955	Fusarium fujikuroi	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/805/GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_050947815.1	PRJNA1312011	SAMN46249857	JBNNPX000000000.1	reference genome	5128	5128	Fusarium sambucinum	na	potato_lamoka	latest	Complete Genome	Major	Full	2025-06-17	OSU_Fsam_2.1	Oregon State University	GCA_050947815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/947/815/GCF_050947815.1_OSU_Fsam_2.1/	na	na	na	haploid	fungi	38591179	38591179	47.000000	4	4	4	Oregon State University	GCF_050947815.1-RS_2026_05	2026-05-14	13017	13017	0	na	Fusarium sambucinum	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/947/815/GCF_050947815.1_OSU_Fsam_2.1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000182925.2	PRJNA132	SAMN02953583	AABX00000000.3	reference genome	367110	5141	Neurospora crassa OR74A	strain=OR74A	na	latest	Chromosome	Major	Full	2013-10-25	NC12	Broad Institute	GCA_000182925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/925/GCF_000182925.2_NC12/	na	na	na	haploid	fungi	41037538	40996763	48.500000	7	20	411	Broad Institute	Annotation submitted by Broad Institute	2023-04-03	10590	9757	815	12712197	Neurospora crassa	Neurospora	Sordariaceae	Sordariales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/925/GCF_000182925.2_NC12//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_040412205.1	PRJNA982925	SAMN35718198	JAVLET000000000.1	na	5142	5142	Neurospora intermedia	strain=FGSC 2613	na	latest	Contig	Major	Full	2024-06-27	Neuin1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/412/205/GCA_040412205.1_Neuin1/	na	na	na	haploid	fungi	39262359	39262359	49.000000	0	21	21	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-06-27	11686	11280	406	na	Neurospora intermedia	Neurospora	Sordariaceae	Sordariales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/412/205/GCA_040412205.1_Neuin1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_033870435.1	PRJNA1128257	SAMN20088412	na	reference genome	5147	5147	Sordaria macrospora	strain=SN1693	na	latest	Complete Genome	Major	Full	2023-11-21	ASM3387043v1	Ruhr-University Bochum	GCA_033870435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/870/435/GCF_033870435.1_ASM3387043v1/	na	na	na	haploid	fungi	39444728	39444728	52.000000	7	7	7	Ruhr-University Bochum	Annotation submitted by Ruhr-University Bochum	2024-06-26	10804	10309	495	38112417	Sordaria macrospora	Sordaria	Sordariaceae	Sordariales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/870/435/GCF_033870435.1_ASM3387043v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_000389695.3	PRJNA67151	SAMN01985854	APWK00000000.3	na	1035309	5158	Ceratocystis fimbriata CBS 114723	strain=CBS 114723	na	latest	Scaffold	Major	Full	2017-10-18	Cfim3.0	Inqaba Biotech	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/695/GCA_000389695.3_Cfim3.0/	na	assembly from type material	na	haploid	fungi	30011674	29713982	48.000000	0	397	2522	Inqaba Biotech	Annotation submitted by Inqaba Biotech	2017-10-18	7266	7266	0	23931120;24563841	Ceratocystis fimbriata	Ceratocystis	Ceratocystidaceae	Microascales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/695/GCA_000389695.3_Cfim3.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_042257785.1	PRJNA1005571	SAMN37000857	JAWCUI000000000.1	na	5173	5173	Sporothrix stenoceras	strain=CMW 5346	na	latest	Scaffold	Major	Full	2024-09-25	ASM4225778v1	University of Pretoria	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/257/785/GCA_042257785.1_ASM4225778v1/	na	na	na	haploid	fungi	39281339	39279876	53.000000	0	165	197	University of Pretoria	Annotation submitted by University of Pretoria	2024-09-25	10473	10258	215	38831329	Sporothrix stenoceras	Sporothrix	Ophiostomataceae	Ophiostomatales	Sordariomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/257/785/GCA_042257785.1_ASM4225778v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000146945.2	PRJNA20263	SAMN02953621	AAGT00000000.1	reference genome	665079	5180	Sclerotinia sclerotiorum 1980 UF-70	strain=1980	na	latest	Scaffold	Minor	Full	2015-07-16	ASM14694v2	Broad Institute	GCA_000146945.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/945/GCF_000146945.2_ASM14694v2/	na	na	na	haploid	fungi	38330312	38001451	42.000000	0	36	679	Broad Institute	Annotation submitted by Broad Institute	2023-04-03	14714	14490	220	na	Sclerotinia sclerotiorum	Sclerotinia	Sclerotiniaceae	Helotiales	Leotiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/945/GCF_000146945.2_ASM14694v2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_003788565.2	PRJNA346638	SAMN05920622	PZQT00000000.1	reference genome	1160509	5191	Ascobolus immersus RN42	strain=RN42	na	latest	Scaffold	Major	Full	2018-11-16	Ascim1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/788/565/GCA_003788565.2_Ascim1/	na	na	na	haploid	fungi	59529874	58885632	49.500000	0	706	1225	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2018-11-20	17876	17820	0	30420746	Ascobolus immersus	Ascobolus	Ascobolaceae	Pezizales	Pezizomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/788/565/GCA_003788565.2_Ascim1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_003790465.1	PRJNA217205	SAMN02744829	PZQV00000000.1	na	1392247	5194	Morchella conica CCBAS932	strain=CCBAS932	na	latest	Scaffold	Major	Full	2018-11-16	Morco1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/790/465/GCA_003790465.1_Morco1/	na	na	na	haploid	fungi	48213273	47195706	47.000000	0	540	2145	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2018-11-20	11979	11592	372	30420746	Morchella conica	Morchella	Morchellaceae	Pezizales	Pezizomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/790/465/GCA_003790465.1_Morco1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000149245.1	PRJNA177334	SAMN03081441	na	reference genome	235443	5207	Cryptococcus neoformans H99	strain=H99	na	latest	Chromosome	Major	Full	2014-02-07	CNA3	Broad Institute	GCA_000149245.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/245/GCF_000149245.1_CNA3/	na	na	na	haploid	fungi	18891193	18891093	48.000000	14	14	15	Broad Institute	Annotation submitted by Broad Institute	2018-04-04	8338	6975	1359	24743168	Cryptococcus neoformans	Cryptococcus	Cryptococcaceae	Tremellales	Tremellomycetes	Basidiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/245/GCF_000149245.1_CNA3//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001720195.1	PRJNA1105951	SAMN02086252	na	reference genome	1295531	5208	Cryptococcus depauperatus CBS 7841	strain=CBS 7841	na	latest	Complete Genome	Major	Full	2024-02-22	ASM172019v2	Broad Institute	GCA_001720195.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/195/GCF_001720195.1_ASM172019v2/	na	assembly from heterotypic synonym type material	na	haploid	fungi	16179376	16179376	45.000000	8	8	8	Broad Institute	Annotation submitted by Broad Institute	2024-07-02	6455	6341	67	35713948	Cryptococcus depauperatus	Cryptococcus	Cryptococcaceae	Tremellales	Tremellomycetes	Basidiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/195/GCF_001720195.1_ASM172019v2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_021052385.1	PRJNA801213	SAMN14510447	JAIFAB000000000.1	reference genome	5210	5210	Filobasidium floriforme	strain=CBS 6241	na	latest	Contig	Major	Full	2021-12-03	Filflo1	DOE Joint Genome Institute	GCA_021052385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/052/385/GCF_021052385.1_Filflo1/	na	assembly from type material	na	haploid	fungi	27469088	27469088	53.000000	0	42	42	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022-03-14	8420	8301	116	34791213	Filobasidium floriforme	Filobasidium	Filobasidiaceae	Filobasidiales	Tremellomycetes	Basidiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/052/385/GCF_021052385.1_Filflo1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000271645.1	PRJNA225529	SAMN02744056	AFVY00000000.1	reference genome	578456	5217	Tremella mesenterica DSM 1558	strain=Fries	na	latest	Scaffold	Major	Full	2012-06-22	Treme1	DOE Joint Genome Institute	GCA_000271645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/645/GCF_000271645.1_Treme1/	na	na	na	haploid	fungi	28639919	27987508	46.500000	0	45	484	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2020-02-05	8292	8291	0	22745431	Tremella mesenterica	Tremella	Tremellaceae	Tremellales	Tremellomycetes	Basidiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/645/GCF_000271645.1_Treme1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_001632375.1	PRJNA196053	SAMN02745873	LOAW00000000.1	na	1314781	5219	Exidia glandulosa HHB12029	strain=HHB12029	na	latest	Scaffold	Major	Full	2016-04-28	Exigl1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/375/GCA_001632375.1_Exigl1/	na	na	na	haploid	fungi	78161169	71697007	56.500000	0	1723	4019	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2016-04-28	26835	26682	152	26659563	Exidia glandulosa	Exidia	Exidiaceae	Auriculariales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/375/GCA_001632375.1_Exigl1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000328475.2	PRJNA14007	SAMN02900459	AACP00000000.2	reference genome	5270	5270	Mycosarcoma maydis	strain=521	na	latest	Chromosome	Major	Full	2015-02-18	Umaydis521_2.0	Broad Institute	GCA_000328475.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0/	na	assembly designated as neotype	na	haploid	fungi	19664356	19641656	54.000000	23	27	254	Broad Institute	Annotation submitted by Broad Institute	2024-12-03	6907	6762	145	17080091	Mycosarcoma maydis	Mycosarcoma		Ustilaginales	Ustilaginomycetes	Basidiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
