entry_id	taxon_id	protein_id	repeat_order	canonical_residues	gap_residues	ambiguous_residues	source_BRF1_hits	source_gene_status
G0000566	F223376	KAL1843011.1	1	86	6	0	0	unique_gene
G0000567	F223409	MCJ1412227.1	1	86	6	0	1	unique_gene
G0000568	F223409	MCJ1413264.1	1	86	6	0	0	unique_gene
G0000569	F223818	XP_060121641.1	1	82	10	0	1	unique_gene
G0000571	F223818	XP_060122612.1	1	88	4	0	0	unique_gene
G0000572	F226899	XP_014171270.1	1	85	7	0	0	unique_gene
G0000573	F226899	XP_014171718.1	1	88	4	0	1	unique_gene
G0000574	F2268995	XP_076542060.1	1	88	4	0	1	unique_gene
G0000575	F2268995	XP_076542268.1	1	89	3	0	0	unique_gene
G0000576	F2282107	PAV14827.1	1	87	5	0	1	unique_gene
G0000577	F2282107	PAV21222.1	1	88	4	0	0	unique_gene
G0000579	F2283408	XP_083119302.1	1	86	6	0	0	unique_gene
G0000580	F2283408	XP_083119443.1	1	87	5	0	1	unique_gene
G0000581	F230603	CAI4054986.1	1	90	2	0	0	unique_gene
G0000582	F230603	CAI4063975.1	1	90	2	0	1	unique_gene
G0000583	F231932	XP_007391685.1	1	88	4	0	0	unique_gene
G0000585	F231932	XP_007399977.1	1	81	11	0	1	unique_gene
G0000589	F235537	PFH49240.1	1	88	4	0	0	unique_gene
G0000590	F235537	PFH53630.1	1	88	4	0	1	unique_gene
G0000592	F236234	XP_020125052.1	1	85	7	0	0	unique_gene
G0000593	F236234	XP_020134791.1	1	83	9	0	1	unique_gene
G0000594	F241526	KAG8204418.1	1	88	4	0	0	unique_gene
G0000595	F245174	XP_009267315.1	1	88	4	0	1	unique_gene
G0000596	F245174	XP_009267780.1	1	88	4	0	0	unique_gene
G0000597	F2486360	XP_062674161.1	1	88	4	0	0	unique_gene
G0000600	F2545709	XP_056037248.1	1	87	5	0	1	unique_gene
G0000601	F2545709	XP_056037496.1	1	86	6	0	0	unique_gene
G0000602	F2562287	CAJ0832275.1	1	86	6	0	0	unique_gene
G0000603	F2562287	CAJ0832501.1	1	86	6	0	0	unique_gene
G0000604	F2562287	CAJ0834876.1	1	78	14	0	1	unique_gene
G0000607	F2562287	CAJ0906058.1	1	86	6	0	0	unique_gene
G0000608	F257869	KAN0699772.1	1	84	8	0	0	unique_gene
G0000609	F257869	KAN0702330.1	1	83	9	0	1	unique_gene
G0000610	F2600213	KAG8831595.1	1	82	10	0	0	unique_gene
G0000611	F2600213	KAG8837929.1	1	70	22	0	1	unique_gene
G0000612	F2600215	KAG8868387.1	1	70	22	0	1	unique_gene
G0000613	F2600215	KAG8879075.1	1	76	16	0	0	unique_gene
G0000614	F2600216	KAG8849899.1	1	76	16	0	0	unique_gene
G0000615	F2600216	KAG8858099.1	1	70	22	0	1	unique_gene
G0000616	F2601811	KAG8626318.1	1	88	4	0	1	unique_gene
G0000617	F2601811	KAG8631397.1	1	85	7	0	0	unique_gene
G0000618	F2606893	XP_031856681.1	1	86	6	0	1	unique_gene
G0000619	F2606893	XP_031856718.1	1	89	3	0	0	unique_gene
G0000620	F2609844	XP_062797895.1	1	78	14	0	1	unique_gene
G0000621	F2609844	XP_062798112.1	1	86	6	0	0	unique_gene
G0000622	F263815	XP_007872903.1	1	87	5	0	0	unique_gene
G0000623	F263815	XP_007875647.1	1	88	4	0	1	unique_gene
G0000624	F264124	KDQ08841.1	1	88	4	0	0	unique_gene
G0000625	F264124	KDQ10869.1	1	87	5	0	1	unique_gene
G0000627	F264483	CDZ96516.1	1	88	4	0	1	unmapped
G0000628	F264483	CDZ96578.1	1	88	4	0	0	unmapped
G0000629	F2650707	KAJ2841849.1	1	89	3	0	0	unique_gene
G0000631	F2650707	KAJ2851170.1	1	89	3	0	0	unique_gene
G0000632	F2650707	KAJ2851171.1	1	88	4	0	0	unique_gene
G0000633	F2650707	KAJ2851172.1	1	78	14	0	0	unique_gene
G0000634	F2650707	KAJ2851173.1	1	88	4	0	0	unique_gene
G0000636	F265104	KAI9864265.1	1	82	10	0	1	unique_gene
G0000637	F265104	KAI9864290.1	1	87	5	0	0	unique_gene
G0000638	F2656787	XP_031874866.1	1	88	4	0	0	unique_gene
G0000639	F2656787	XP_031874965.1	1	83	9	0	1	unique_gene
G0000640	F269621	SCV67423.1	1	90	2	0	1	unique_gene
G0000642	F269621	SCV70364.1	1	82	10	0	0	unique_gene
G0000644	F2704026	MCJ1440684.1	1	86	6	0	1	unique_gene
G0000645	F2704026	MCJ1441352.1	1	86	6	0	0	unique_gene
G0000647	F2725673	KAJ3307049.1	1	83	9	0	0	unique_gene
G0000649	F2725673	KAJ3343276.1	1	67	25	0	0	unique_gene
G0000650	F27291	XP_033766577.1	1	90	2	0	1	unique_gene
G0000652	F27291	XP_033769836.1	1	90	2	0	0	unique_gene
G0000653	F27292	QID79765.1	1	90	2	0	1	unique_gene
G0000655	F27292	QID83052.1	1	90	2	0	0	unique_gene
G0000656	F27292	QID85293.1	1	90	2	0	1	unique_gene
G0000657	F27292	QID88501.1	1	90	2	0	0	unique_gene
G0000658	F2732470	XP_044665046.1	1	83	9	0	1	unique_gene
G0000659	F2732470	XP_044665170.1	1	87	5	0	0	unique_gene
G0000660	F273283	KAI9831559.1	1	84	8	0	1	unique_gene
G0000661	F273283	KAI9831594.1	1	87	5	0	0	unique_gene
G0000662	F27342	KLO10354.1	1	89	3	0	1	unique_gene
G0000664	F27342	KLO19928.1	1	86	6	0	0	unique_gene
G0000667	F2735257	KAJ3299940.1	1	87	5	0	1	unique_gene
G0000670	F27376	CAG8529547.1	1	87	5	0	0	unique_gene
G0000672	F27376	CAG8767822.1	1	81	11	0	0	unique_gene
G0000674	F2748771	KAF7980980.1	1	88	4	0	1	unique_gene
G0000675	F2748771	KAF7981698.1	1	88	4	0	0	unique_gene
G0000677	F2748771	KAF7985457.1	1	88	4	0	1	unique_gene
G0000678	F2754530	XP_040724046.1	1	90	2	0	0	unique_gene
G0000679	F2754530	XP_040725961.1	1	89	3	0	1	unique_gene
G0000680	F2767002	KAG4085083.1	1	87	5	0	0	unique_gene
G0000681	F2767002	KAG4095182.1	1	87	5	0	1	unique_gene
G0000682	F2767002	KAG4098116.1	1	87	5	0	1	unique_gene
G0000686	F2778381	CAD6570409.1	1	89	3	0	1	unique_gene
G0000687	F2778381	CAD6581561.1	1	87	5	0	0	unique_gene
G0000689	F2781224	XP_069197959.1	1	88	4	0	0	unique_gene
G0000690	F2781224	XP_069198180.1	1	86	6	0	1	unique_gene
G0000692	F279322	XP_060457745.1	1	88	4	0	0	unique_gene
G0000693	F279322	XP_060458296.1	1	82	10	0	1	unique_gene
G0000695	F2796175	KAI9884038.1	1	86	6	0	1	unique_gene
G0000696	F280036	XP_029742368.1	1	87	5	0	0	unique_gene
G0000697	F280036	XP_029742706.1	1	87	5	0	1	unique_gene
G0000698	F2813651	XP_011117233.1	1	88	4	0	0	unique_gene
G0000699	F2813651	XP_011119714.1	1	88	4	0	1	unique_gene
G0000701	F281847	EPZ32711.1	1	87	5	0	0	unique_gene
G0000702	F281847	EPZ36574.1	1	81	11	0	1	unique_gene
G0000703	F2829486	KAH7099019.1	1	88	4	0	1	unique_gene
G0000704	F2829486	KAH7103076.1	1	85	7	0	0	unique_gene
G0000705	F2831993	KII84965.1	1	88	4	0	1	unique_gene
G0000707	F2831993	KII94747.1	1	88	4	0	1	unique_gene
G0000708	F2831993	KII95274.1	1	88	4	0	0	unique_gene
G0000709	F2834505	KZS95160.1	1	88	4	0	1	unique_gene
G0000710	F2834505	KZS97854.1	1	88	4	0	0	unique_gene
G0000711	F28583	KNE57138.1	1	83	9	0	1	unique_gene
G0000712	F28583	KNE60721.1	1	82	10	0	0	unique_gene
G0000713	F28583	KNE60722.1	1	82	10	0	0	unique_gene
G0000714	F28583	KNE64257.1	1	82	10	0	0	unique_gene
G0000717	F2871812	MCJ1361019.1	1	86	6	0	0	unique_gene
G0000718	F2871812	MCJ1361045.1	1	82	10	0	1	unique_gene
G0000719	F2878321	CAO1628208.1	1	85	7	0	0	unique_gene
G0000720	F2878321	CAO1637288.1	1	88	4	0	1	unique_gene
G0000721	F288795	KDE03390.1	1	82	10	0	0	unique_gene
G0000723	F288795	KDE07061.1	1	90	2	0	1	unique_gene
G0000727	F289078	SDA00661.1	1	82	10	0	0	unique_gene
G0000728	F289078	SDA07569.1	1	90	2	0	1	unique_gene
G0000729	F291195	RVD92512.1	1	87	5	0	0	unique_gene
G0000730	F291195	RVD93178.1	1	83	9	0	1	unique_gene
G0000731	F2918522	MCJ1252848.1	1	84	8	0	1	unique_gene
G0000732	F2918522	MCJ1253223.1	1	88	4	0	0	unique_gene
G0000734	F293227	XP_008715623.1	1	89	3	0	0	unique_gene
G0000735	F2939399	KAI9738056.1	1	88	4	0	0	unique_gene
G0000736	F2939399	KAI9740898.1	1	87	5	0	1	unique_gene
G0000737	F2939400	KAI9726147.1	1	79	13	0	1	unique_gene
G0000738	F2939400	KAI9726165.1	1	84	8	0	0	unique_gene
G0000739	F2939403	KAI9836478.1	1	89	3	0	0	unique_gene
G0000740	F2939403	KAI9844038.1	1	83	9	0	1	unique_gene
G0000742	F2939404	KAI9841514.1	1	84	8	0	0	unique_gene
G0000743	F2939404	KAI9843538.1	1	86	6	0	0	unique_gene
G0000744	F2939405	KAI9890929.1	1	86	6	0	0	unique_gene
G0000745	F2939405	KAI9893469.1	1	86	6	0	1	unique_gene
G0000746	F2939406	KAI9686449.1	1	87	5	0	0	unique_gene
G0000747	F2939406	KAI9691371.1	1	88	4	0	1	unique_gene
G0000748	F2939408	KAI9858333.1	1	88	4	0	1	unique_gene
G0000749	F2939408	KAI9858773.1	1	86	6	0	0	unique_gene
G0000750	F2977754	KAL9107486.1	1	87	5	0	0	unique_gene
G0000751	F2977754	KAL9114027.1	1	88	4	0	1	unique_gene
G0000753	F29833	KAL6949197.1	1	90	2	0	1	unique_gene
G0000754	F29833	KAL6951678.1	1	88	4	0	0	unique_gene
G0000755	F29883	XP_001877010.1	1	86	6	0	0	unique_gene
G0000756	F29883	XP_001885839.1	1	88	4	0	1	unique_gene
G0000757	F29889	KZT60056.1	1	84	8	0	1	unique_gene
G0000759	F29889	KZT62781.1	1	85	7	0	0	unique_gene
G0000760	F29898	XP_018270103.1	1	85	7	0	0	unique_gene
G0000761	F29898	XP_018271232.1	1	89	3	0	1	unique_gene
G0000764	F29899	XP_066824177.1	1	89	3	0	1	unique_gene
G0000765	F29899	XP_066825902.1	1	89	3	0	0	unique_gene
G0000766	F29902	XP_076499787.1	1	90	2	0	1	unique_gene
G0000767	F29902	XP_076500291.1	1	88	4	0	0	unique_gene
G0000768	F29908	XP_016590861.1	1	88	4	0	1	unique_gene
G0000769	F29908	XP_016592670.1	1	86	6	0	0	unique_gene
G0000770	F3038894	KAK4704857.1	1	80	12	0	1	unique_gene
G0000771	F3038894	KAK4705913.1	1	86	6	0	0	unique_gene
G0000772	F3039483	XP_060276678.1	1	84	8	0	0	unique_gene
G0000773	F3039483	XP_060277763.1	1	77	15	0	1	unique_gene
G0000774	F304332	KAI8869272.1	1	83	9	0	0	unique_gene
G0000775	F304332	KAI8872424.1	1	88	4	0	1	unique_gene
G0000776	F3058885	KAL8829090.1	1	86	6	0	0	unique_gene
G0000777	F3058885	KAL8830131.1	1	85	7	0	1	unique_gene
G0000778	F3060298	KAL9619435.1	1	89	3	0	0	unique_gene
G0000779	F3060298	KAL9622435.1	1	88	4	0	1	unique_gene
G0000780	F3075319	KAL7752292.1	1	85	7	0	0	unique_gene
G0000781	F3075319	KAL7752794.1	1	84	8	0	1	unique_gene
G0000783	F3108450	KAL6592578.1	1	87	5	0	1	unique_gene
G0000788	F3108450	KAL6618208.1	1	87	5	0	0	unique_gene
G0000790	F315204	KAI9783560.1	1	82	10	0	1	unique_gene
G0000791	F315204	KAI9786604.1	1	87	5	0	0	unique_gene
G0000792	F318760	MCJ1301626.1	1	86	6	0	0	unique_gene
G0000793	F318760	MCJ1302900.1	1	84	8	0	1	unique_gene
G0000794	F318763	KAI9862585.1	1	86	6	0	0	unique_gene
G0000795	F318763	KAI9879379.1	1	84	8	0	1	unique_gene
G0000797	F318774	KAI9824293.1	1	85	7	0	1	unique_gene
G0000798	F318774	KAI9830406.1	1	88	4	0	0	unique_gene
G0000799	F326681	XP_051308741.1	1	86	6	0	1	unique_gene
G0000800	F326681	XP_051308785.1	1	87	5	0	0	unique_gene
G0000801	F326684	XP_047825679.1	1	86	6	0	0	unique_gene
G0000802	F326684	XP_047828283.1	1	65	27	0	1	unique_gene
G0000803	F332112	EHM99760.1	1	89	3	0	0	unique_gene
G0000805	F332112	EHN04094.1	1	90	2	0	0	unique_gene
G0000806	F332112	EHN07001.1	1	90	2	0	1	unique_gene
G0000807	F3342545	KAL5346329.1	1	88	4	0	1	unique_gene
G0000808	F3342545	KAL5352320.1	1	88	4	0	0	unique_gene
G0000809	F3384825	KAN4399878.1	1	88	4	0	0	unique_gene
G0000810	F3384825	KAN4400006.1	1	89	3	0	1	unique_gene
G0000811	F339359	KAJ2899390.1	1	87	5	0	0	unique_gene
G0000813	F342668	XP_018130125.1	1	88	4	0	1	unique_gene
G0000814	F342668	XP_018135585.1	1	88	4	0	0	unique_gene
G0000816	F34349	XP_014565771.1	1	86	6	0	0	unique_gene
G0000817	F34349	XP_014568588.1	1	91	1	0	1	unique_gene
G0000818	F34406	XP_062774407.1	1	86	6	0	1	unique_gene
G0000819	F34406	XP_062774619.1	1	86	6	0	0	unique_gene
G0000820	F34480	KAK9702921.1	1	86	6	0	0	unique_gene
G0000821	F34480	KAK9719513.1	1	88	4	0	1	unique_gene
G0000822	F34480	KAK9761219.1	1	88	4	0	0	unique_gene
G0000823	F34480	KAK9763720.1	1	86	6	0	0	unique_gene
G0000825	F34485	KAJ9057714.1	1	85	7	0	1	unique_gene
G0000826	F34485	KAJ9058600.1	1	85	7	0	1	unique_gene
G0000829	F34485	KAJ9080902.1	1	81	11	0	0	unique_gene
G0000830	F34485	KAJ9081451.1	1	79	13	0	0	unique_gene
G0000831	F34485	KAJ9084494.1	1	81	11	0	0	unique_gene
G0000835	F34488	KXN71290.1	1	85	7	0	0	unique_gene
G0000836	F34488	KXN73468.1	1	87	5	0	1	unique_gene
G0000839	F348617	KAI0233879.1	1	80	12	0	0	unique_gene
G0000840	F348617	KAI0243919.1	1	82	10	0	0	unique_gene
G0000842	F36035	XP_045932776.1	1	91	1	0	0	unique_gene
G0000843	F36035	XP_045933298.1	1	90	2	0	1	unique_gene
G0000844	F36050	XP_044709631.1	1	84	8	0	1	unique_gene
G0000845	F36050	XP_044711148.1	1	83	9	0	0	unique_gene
G0000846	F364730	KAL9096583.1	1	87	5	0	0	unique_gene
G0000847	F364730	KAL9097629.1	1	89	3	0	1	unique_gene
G0000848	F364733	XP_007801318.1	1	88	4	0	0	unique_gene
G0000849	F364733	XP_007801641.1	1	86	6	0	1	unique_gene
G0000850	F36779	XP_009219876.1	1	87	5	0	1	unique_gene
G0000851	F36779	XP_009221464.1	1	85	7	0	0	unique_gene
G0000852	F370292	KAF9651751.1	1	84	8	0	0	unique_gene
G0000853	F370292	KAF9652812.1	1	88	4	0	1	unique_gene
G0000854	F37769	XP_003194805.1	1	78	14	0	0	unique_gene
G0000855	F37769	XP_003194905.1	1	82	10	0	1	unique_gene
G0000856	F378194	XP_047878023.1	1	88	4	0	1	unique_gene
G0000857	F378194	XP_047882030.1	1	86	6	0	0	unique_gene
G0000861	F383834	XP_066793527.1	1	87	5	0	0	unique_gene
G0000862	F383834	XP_066796849.1	1	91	1	0	1	unique_gene
G0000863	F38799	KZT24570.1	1	88	4	0	0	unique_gene
G0000864	F38799	KZT25749.1	1	88	4	0	1	unique_gene
G0000866	F390894	KAF2496634.1	1	87	5	0	0	unique_gene
G0000867	F390894	KAF2501453.1	1	86	6	0	1	unique_gene
G0000868	F393283	XP_007826827.1	1	86	6	0	0	unique_gene
G0000869	F393283	XP_007842130.1	1	80	12	0	1	unique_gene
G0000870	F39416	XP_002839704.1	1	87	5	0	0	unique_gene
G0000871	F39416	XP_002841927.1	1	86	6	0	1	unique_gene
G0000872	F398673	XP_018663133.1	1	86	6	0	0	unique_gene
G0000873	F398673	XP_018663448.2	1	84	8	0	1	unique_gene
G0000874	F400354	MCJ1376612.1	1	87	5	0	1	unique_gene
G0000875	F400354	MCJ1376678.1	1	88	4	0	0	unique_gene
G0000876	F401625	CEH13438.1	1	87	5	0	1	unique_gene
G0000877	F401625	CEH16743.1	1	86	6	0	0	unique_gene
G0000878	F40410	XP_571484.1	1	82	10	0	1	unique_gene
G0000879	F40410	XP_571527.1	1	78	14	0	0	unique_gene
G0000881	F40492	XP_007302417.1	1	88	4	0	0	unique_gene
G0000882	F40492	XP_007307029.1	1	88	4	0	1	unique_gene
G0000883	F40559	XP_001556701.1	1	88	4	0	1	unique_gene
G0000885	F40559	XP_024551912.1	1	87	5	0	0	unique_gene
G0000886	F41759	XP_073584790.1	1	88	4	0	0	unique_gene
G0000887	F41759	XP_073586727.1	1	87	5	0	1	unique_gene
G0000888	F41833	XP_051440365.1	1	76	16	0	0	unique_gene
G0000893	F41833	XP_051448948.1	1	87	5	0	1	unique_gene
G0000895	F418498	KAL8292264.1	1	86	6	0	0	unique_gene
G0000896	F418498	KAL8293709.1	1	90	2	0	1	unique_gene
G0000898	F41956	KAM6496114.1	1	88	4	0	0	unique_gene
G0000900	F41956	KAM6499847.1	1	88	4	0	1	unique_gene
G0000901	F41990	KAJ9130523.1	1	87	5	0	1	unique_gene
G0000902	F41990	KAJ9138389.1	1	86	6	0	0	unique_gene
G0000904	F42068	XP_018229439.1	1	87	5	0	1	unique_gene
G0000905	F42068	XP_018229971.1	1	87	5	0	0	unique_gene
G0000908	F423460	ORX95439.1	1	88	4	0	1	unique_gene
G0000909	F423460	ORY03902.1	1	86	6	0	0	unique_gene
G0000910	F423460	ORY05960.1	1	86	6	0	0	unique_gene
G0000911	F42374	XP_002417007.1	1	88	4	0	0	unique_gene
G0000912	F42374	XP_002422086.1	1	79	13	0	0	unique_gene
G0000913	F42374	XP_002422100.1	1	91	1	0	1	unique_gene
G0000914	F43433	XP_051340625.1	1	88	4	0	1	unique_gene
G0000915	F43433	XP_051343616.1	1	89	3	0	0	unique_gene
G0000917	F43959	XP_064850562.1	1	87	5	0	1	unique_gene
G0000918	F43959	XP_064854212.1	1	89	3	0	0	unique_gene
G0000919	F44089	XP_066788454.1	1	87	5	0	0	unique_gene
G0000920	F44089	XP_066791560.1	1	91	1	0	1	unique_gene
G0000921	F443868	MCJ1312366.1	1	86	6	0	0	unique_gene
G0000922	F443868	MCJ1314028.1	1	84	8	0	1	unique_gene
G0000924	F44442	CAO3669967.1	1	87	5	0	0	unique_gene
G0000928	F44565	KAO0764047.1	1	88	4	0	1	unique_gene
G0000930	F44565	KAO0767012.1	1	87	5	0	0	unique_gene
G0000931	F45228	KAO0773024.1	1	87	5	0	0	unique_gene
G0000932	F45228	KAO0775335.1	1	89	3	0	1	unique_gene
G0000935	F460848	KAI9714091.1	1	87	5	0	0	unique_gene
G0000936	F460848	KAI9724340.1	1	84	8	0	1	unique_gene
G0000937	F460854	KAI9767409.1	1	85	7	0	1	unique_gene
G0000939	F460854	KAI9778904.1	1	89	3	0	0	unique_gene
G0000940	F462254	XP_033395035.1	1	87	5	0	0	unique_gene
G0000941	F462254	XP_033401723.1	1	87	5	0	0	unique_gene
G0000942	F462254	XP_033403033.1	1	86	6	0	1	unique_gene
G0000943	F467971	KZT40943.1	1	88	4	0	1	unique_gene
G0000944	F467971	KZT42978.1	1	88	4	0	0	unique_gene
G0000945	F470096	XP_033603382.1	1	86	6	0	1	unique_gene
G0000946	F470096	XP_033603883.1	1	88	4	0	0	unique_gene
G0000947	F474922	XP_045256619.1	1	86	6	0	0	unique_gene
G0000948	F474922	XP_045264319.1	1	86	6	0	1	unique_gene
G0000949	F4754	XP_018224721.1	1	88	4	0	1	unique_gene
G0000950	F4754	XP_018227014.1	1	87	5	0	0	unique_gene
G0000951	F48021	KAI0056018.1	1	88	4	0	1	unique_gene
G0000952	F48021	KAI0060851.1	1	88	4	0	0	unique_gene
G0000954	F4808	KAI9183089.1	1	86	6	0	1	unique_gene
G0000955	F4808	KAI9189461.1	1	80	12	0	0	unique_gene
G0000956	F48095	XP_069310327.1	1	86	6	0	0	unique_gene
G0000957	F48095	XP_069311022.1	1	88	4	0	1	unique_gene
G0000959	F4837	XP_018292234.1	1	85	7	0	0	unique_gene
G0000961	F4837	XP_018298210.1	1	87	5	0	1	unique_gene
G0000962	F4837	XP_018298745.1	1	86	6	0	0	unique_gene
G0000963	F4840	XP_069234981.1	1	87	5	0	1	unique_gene
G0000965	F4840	XP_069242986.1	1	86	6	0	0	unique_gene
G0000968	F48563	XP_041303788.1	1	88	4	0	0	unique_gene
G0000969	F48563	XP_041310853.1	1	88	4	0	1	unique_gene
G0000971	F48565	KAG2752484.1	1	88	4	0	0	unique_gene
G0000972	F48565	KAG2754437.1	1	78	14	0	1	unique_gene
G0000973	F48578	XP_041175361.1	1	88	4	0	0	unique_gene
G0000974	F48578	XP_041183700.1	1	88	4	0	1	unique_gene
G0000976	F48586	XP_041237340.1	1	88	4	0	0	unique_gene
G0000978	F48586	XP_041247087.1	1	88	4	0	1	unique_gene
G0000979	F48587	XP_041187370.1	1	88	4	0	0	unique_gene
G0000980	F48587	XP_041199515.1	1	88	4	0	1	unique_gene
G0000982	F48593	KAG2343599.1	1	88	4	0	0	unique_gene
G0000983	F48593	KAG2350692.1	1	88	4	0	1	unique_gene
G0000984	F4866	KAJ1958613.1	1	73	19	0	0	unique_gene
G0000985	F4866	KAJ1961685.1	1	89	3	0	1	unique_gene
G0000986	F4866	KAJ1964538.1	1	87	5	0	0	unique_gene
G0000990	F48691	OLL22397.1	1	88	4	0	0	unique_gene
G0000991	F48691	OLL24572.1	1	87	5	0	1	unique_gene
G0000992	F4874	KAF0419075.1	1	89	3	0	1	unique_gene
G0000998	F4874	KAF0506313.1	1	80	12	0	0	unique_gene
G0000999	F4874	KAF0510177.1	1	81	11	0	0	unique_gene
G0001001	F4896	NP_001342959.1	1	86	6	0	1	unique_gene
G0001002	F4896	NP_594229.1	1	86	6	0	0	unique_gene
G0001005	F4897	XP_002172775.1	1	86	6	0	0	unique_gene
G0001006	F4897	XP_002174286.1	1	87	5	0	1	unique_gene
G0001007	F4903	XP_020068942.1	1	89	3	0	0	unique_gene
G0001008	F4903	XP_020072503.1	1	89	3	0	1	unique_gene
G0001009	F4909	XP_029322960.1	1	88	4	0	0	unique_gene
G0001010	F4909	XP_029323201.1	1	89	3	0	1	unique_gene
G0001011	F4918	ODV97584.1	1	91	1	0	1	unique_gene
G0001012	F4918	ODV98196.1	1	88	4	0	0	unique_gene
G0001013	F4927	XP_019039910.1	1	88	4	0	0	unique_gene
G0001014	F4927	XP_019041350.1	1	89	3	0	1	unique_gene
G0001015	F4932	NP_011762.1	1	90	2	0	1	unique_gene
G0001017	F4932	NP_015411.1	1	90	2	0	0	unique_gene
G0001019	F500713	XP_076532139.1	1	92	0	0	1	unique_gene
G0001021	F500713	XP_076534165.1	1	83	9	0	0	unique_gene
G0001022	F5011	CCG82300.1	1	87	5	0	0	unique_gene
G0001023	F5022	XP_003843493.1	1	86	6	0	0	unique_gene
G0001024	F5022	XP_065954613.1	1	86	6	0	1	unique_gene
G0001025	F50376	QDS67585.1	1	86	6	0	0	unique_gene
G0001026	F50376	QDS75325.1	1	84	8	0	1	unique_gene
G0001027	F5059	XP_041143036.1	1	88	4	0	0	unique_gene
G0001028	F5059	XP_071366449.1	1	85	7	0	1	unique_gene
G0001029	F5062	XP_001819770.1	1	88	4	0	0	unique_gene
G0001030	F5062	XP_023091566.1	1	85	7	0	1	unique_gene
G0001032	F50956	KAG9292805.1	1	87	5	0	0	unique_gene
G0001033	F50956	KAG9293342.1	1	87	5	0	0	unique_gene
G0001034	F50956	KAG9301168.1	1	72	20	0	0	unique_gene
G0001035	F50956	KAG9304737.1	1	87	5	0	1	unique_gene
G0001036	F50990	TDL18229.1	1	88	4	0	1	unique_gene
G0001038	F50990	TDL29658.1	1	88	4	0	0	unique_gene
G0001039	F5101	XP_024721358.1	1	86	6	0	0	unique_gene
G0001040	F5101	XP_024721705.1	1	86	6	0	1	unique_gene
G0001041	F5116	XP_040777764.1	1	85	7	0	0	unique_gene
G0001042	F5116	XP_040777879.1	1	85	7	0	1	unique_gene
G0001043	F5127	XP_023424421.1	1	85	7	0	0	unique_gene
G0001044	F5127	XP_023435848.1	1	84	8	0	1	unique_gene
G0001045	F5128	XP_083083603.1	1	84	8	0	1	unique_gene
G0001046	F5128	XP_083086839.1	1	83	9	0	0	unique_gene
G0001047	F5147	XP_003349933.1	1	87	5	0	0	unique_gene
G0001049	F51930	ODV88844.1	1	79	13	0	0	unique_gene
G0001050	F51930	ODV92582.1	1	90	2	0	1	unique_gene
G0001051	F5207	XP_012050410.1	1	82	10	0	1	unique_gene
G0001052	F5207	XP_012050525.1	1	78	14	0	0	unique_gene
G0001053	F5208	XP_066068605.1	1	79	13	0	0	unique_gene
G0001054	F5208	XP_066068695.1	1	82	10	0	1	unique_gene
G0001055	F5210	XP_046032636.1	1	79	13	0	0	unique_gene
G0001056	F5210	XP_046033178.1	1	83	9	0	1	unique_gene
G0001057	F5219	KZV83445.1	1	90	2	0	1	unique_gene
G0001060	F5219	KZW04362.1	1	84	8	0	0	unique_gene
G0001061	F5281	XP_013244599.1	1	83	9	0	0	unique_gene
G0001064	F5286	XP_016272167.1	1	90	2	0	1	unique_gene
G0001065	F5286	XP_016272637.1	1	85	7	0	0	unique_gene
G0001068	F52883	MCJ1343919.1	1	89	3	0	0	unique_gene
G0001069	F52883	MCJ1344026.1	1	84	8	0	1	unique_gene
G0001070	F52883	MCJ1345786.1	1	86	6	0	0	unique_gene
G0001071	F52883	MCJ1346560.1	1	81	11	0	0	unique_gene
G0001072	F5364	TFK55632.1	1	88	4	0	0	unique_gene
G0001073	F5365	XP_067532257.1	1	88	4	0	1	unique_gene
G0001075	F5365	XP_067541424.1	1	88	4	0	0	unique_gene
G0001076	F5414	KAO0759666.1	1	86	6	0	0	unique_gene
G0001077	F5414	KAO0759682.1	1	86	6	0	0	unique_gene
G0001078	F5414	KAO0769069.1	1	91	1	0	1	unique_gene
G0001080	F54195	XP_020045167.1	1	89	3	0	1	unique_gene
G0001081	F54195	XP_020045180.1	1	87	5	0	0	unique_gene
G0001082	F5454	XP_038799482.1	1	85	7	0	1	unique_gene
G0001083	F5454	XP_038799533.1	1	86	6	0	0	unique_gene
G0001084	F5476	XP_710164.1	1	79	13	0	0	unique_gene
G0001085	F5476	XP_711715.1	1	91	1	0	1	unique_gene
G0001086	F5476	XP_721557.1	1	88	4	0	0	unique_gene
G0001087	F5479	KAL6453646.1	1	88	4	0	0	unique_gene
G0001088	F5479	KAL6454388.1	1	80	12	0	0	unique_gene
G0001089	F5479	KAL6454392.1	1	91	1	0	1	unique_gene
G0001090	F5482	XP_002545797.1	1	80	12	0	0	unique_gene
G0001091	F5482	XP_002545813.1	1	89	3	0	1	unique_gene
G0001092	F5482	XP_002550260.1	1	88	4	0	0	unique_gene
G0001093	F5486	RCK56575.1	1	88	4	0	0	unique_gene
G0001094	F5486	RCK59183.1	1	80	12	0	0	unique_gene
G0001095	F5486	RCK59543.1	1	90	2	0	1	unique_gene
G0001096	F5486	RCK60426.1	1	88	4	0	0	unique_gene
G0001097	F5486	RCK62592.1	1	90	2	0	1	unique_gene
G0001098	F5486	RCK62683.1	1	80	12	0	0	unique_gene
G0001099	F549676	XP_083062903.1	1	86	6	0	0	unique_gene
G0001100	F549676	XP_083065747.1	1	84	8	0	1	unique_gene
