case_id	taxa	nucleotide_columns	distinct_aligned_sequences	variable_nucleotide_columns	parsimony_informative_nucleotide_columns	marker_copy_caveat	status
Tilletia__4837017at2759__code1	5	672	3	207	34	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4837017at2759__code1	10	678	10	291	166	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4837017at2759__code1	4	642	4	179	38	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4838864at2759__code1	10	1932	10	882	714	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4838864at2759__code1	9	1788	9	508	322	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4838864at2759__code1	10	1833	10	532	455	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4838864at2759__code1	10	1824	10	564	398	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4838864at2759__code1	7	1887	7	566	299	none_recorded	ready_for_supported_tree_diagnostic
Candida__4838864at2759__code12	4	1848	4	614	188	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4838864at2759__code1	6	1926	6	875	461	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4838864at2759__code1	10	1920	10	585	224	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4838864at2759__code1	4	1770	4	1060	141	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4838864at2759__code1	5	1800	5	889	381	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4838864at2759__code1	4	1794	4	250	17	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4838864at2759__code1	5	1818	4	573	105	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4838864at2759__code1	10	1917	10	729	511	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4838864at2759__code1	4	1848	4	586	226	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4838864at2759__code1	4	1833	4	581	108	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4843240at2759__code1	10	2016	10	1106	850	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4843240at2759__code1	10	2058	10	748	526	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4843240at2759__code1	9	2052	9	820	734	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4843240at2759__code1	10	2046	10	1416	512	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4843240at2759__code1	6	1767	6	651	332	none_recorded	ready_for_supported_tree_diagnostic
Candida__4843240at2759__code12	4	1887	4	746	216	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4843240at2759__code1	4	1935	4	804	191	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4843240at2759__code1	9	1992	9	397	178	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4843240at2759__code1	5	1338	5	785	236	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4843240at2759__code1	4	2019	4	284	21	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4843240at2759__code1	5	1689	3	648	138	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4843240at2759__code1	10	1767	10	964	637	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4843240at2759__code1	4	1260	4	518	151	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4843240at2759__code1	4	1446	4	645	122	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4867008at2759__code1	10	522	10	312	226	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4867008at2759__code1	10	525	10	144	90	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4867008at2759__code1	10	522	10	161	139	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4867008at2759__code1	10	516	10	137	91	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4867008at2759__code1	5	543	5	135	52	none_recorded	ready_for_supported_tree_diagnostic
Candida__4867008at2759__code12	4	537	4	157	41	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4867008at2759__code1	5	537	5	361	81	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4867008at2759__code1	10	537	10	135	66	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4867008at2759__code1	4	522	4	283	45	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4867008at2759__code1	5	540	5	248	106	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4867008at2759__code1	4	543	4	82	3	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4867008at2759__code1	5	537	3	130	21	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4867008at2759__code1	10	534	10	211	150	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4867008at2759__code1	4	543	4	158	61	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4867008at2759__code1	4	495	4	318	31	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4888252at2759__code1	10	2775	10	1460	1091	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4888252at2759__code1	10	2829	10	954	680	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4888252at2759__code1	9	2829	9	911	757	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4888252at2759__code1	10	2817	10	855	640	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4888252at2759__code1	7	2631	7	960	544	none_recorded	ready_for_supported_tree_diagnostic
Candida__4888252at2759__code12	4	2496	4	988	249	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4888252at2759__code1	5	2724	5	1378	545	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4888252at2759__code1	9	2670	9	699	288	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4888252at2759__code1	5	2430	5	1641	679	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4888252at2759__code1	4	2721	4	434	46	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4888252at2759__code1	9	2712	9	1231	518	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4888252at2759__code1	4	2214	4	1261	382	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4888252at2759__code1	4	2361	4	805	184	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4896098at2759__code1	10	594	9	257	196	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4896098at2759__code1	9	606	9	191	110	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4896098at2759__code1	10	606	10	181	147	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4896098at2759__code1	10	606	10	215	151	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4896098at2759__code1	7	615	7	176	103	none_recorded	ready_for_supported_tree_diagnostic
Candida__4896098at2759__code12	4	570	4	196	49	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4896098at2759__code1	7	549	7	227	149	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4896098at2759__code1	9	609	9	121	42	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4896098at2759__code1	4	552	4	297	34	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4896098at2759__code1	4	540	4	223	47	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4896098at2759__code1	4	621	4	90	4	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4896098at2759__code1	5	603	3	152	31	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4896098at2759__code1	10	612	10	255	164	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4896098at2759__code1	4	552	4	175	47	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4896098at2759__code1	4	567	4	182	38	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4900375at2759__code1	10	597	10	299	192	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4900375at2759__code1	10	624	9	219	145	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4900375at2759__code1	10	624	10	196	178	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4900375at2759__code1	10	624	10	190	133	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4900375at2759__code1	7	606	7	191	109	none_recorded	ready_for_supported_tree_diagnostic
Candida__4900375at2759__code12	4	624	4	266	74	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4900375at2759__code1	7	573	7	408	167	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4900375at2759__code1	10	618	10	131	57	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4900375at2759__code1	4	618	4	335	68	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4900375at2759__code1	4	597	4	81	11	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4900375at2759__code1	5	627	4	213	38	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4900375at2759__code1	10	636	10	286	207	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4900375at2759__code1	4	615	4	217	72	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4908955at2759__code1	10	954	10	426	323	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4908955at2759__code1	10	975	10	537	160	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4908955at2759__code1	10	966	9	578	227	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4908955at2759__code1	10	969	10	327	246	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4908955at2759__code1	7	852	7	351	208	none_recorded	ready_for_supported_tree_diagnostic
Candida__4908955at2759__code12	4	795	4	486	49	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4908955at2759__code1	5	975	5	402	159	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4908955at2759__code1	10	963	10	204	85	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4908955at2759__code1	4	597	4	366	45	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4908955at2759__code1	5	939	5	575	220	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4908955at2759__code1	4	963	4	122	9	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4908955at2759__code1	5	972	3	213	53	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4908955at2759__code1	9	972	9	395	139	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4908955at2759__code1	4	945	4	284	84	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4911644at2759__code1	10	2892	10	1194	944	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4911644at2759__code1	10	2871	10	777	535	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4911644at2759__code1	10	2874	10	891	775	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4911644at2759__code1	10	2877	10	716	518	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4911644at2759__code1	7	2676	7	797	444	none_recorded	ready_for_supported_tree_diagnostic
Candida__4911644at2759__code12	4	2280	4	585	154	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4911644at2759__code1	5	2733	5	1125	515	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4911644at2759__code1	10	2766	10	621	257	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4911644at2759__code1	5	2709	5	1361	580	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4911644at2759__code1	4	2772	4	360	41	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4911644at2759__code1	5	2793	3	704	143	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4911644at2759__code1	10	2739	10	1018	701	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4911644at2759__code1	4	2772	4	838	190	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4940884at2759__code1	10	2823	10	1224	960	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4940884at2759__code1	10	2721	10	1002	770	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4940884at2759__code1	9	2784	9	885	764	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4940884at2759__code1	10	2778	10	860	640	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4940884at2759__code1	6	2730	6	1025	620	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4940884at2759__code1	10	2754	10	531	206	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4940884at2759__code1	5	2352	5	1291	572	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4940884at2759__code1	4	2733	4	370	48	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4940884at2759__code1	5	2271	3	612	111	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4940884at2759__code1	10	2610	10	1001	703	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4940884at2759__code1	4	2541	4	810	266	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4969018at2759__code1	10	1371	10	528	413	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4969018at2759__code1	10	1368	10	266	165	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4969018at2759__code1	10	1362	10	250	201	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4969018at2759__code1	9	1368	9	247	174	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4969018at2759__code1	7	1371	7	283	149	none_recorded	ready_for_supported_tree_diagnostic
Candida__4969018at2759__code12	4	1374	4	253	69	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4969018at2759__code1	7	1374	7	611	382	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4969018at2759__code1	10	1371	10	277	110	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4969018at2759__code1	5	1326	5	467	187	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4969018at2759__code1	4	1410	4	132	17	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4969018at2759__code1	5	1383	4	288	53	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4969018at2759__code1	10	1368	10	461	322	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4969018at2759__code1	4	1338	4	396	149	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4969636at2759__code1	9	1248	9	531	380	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4969636at2759__code1	10	1257	10	316	192	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4969636at2759__code1	10	1257	10	418	365	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4969636at2759__code1	10	1257	10	374	253	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4969636at2759__code1	6	1218	6	342	198	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4969636at2759__code1	6	1143	6	583	313	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4969636at2759__code1	10	1167	10	276	112	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4969636at2759__code1	5	1146	5	535	237	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4969636at2759__code1	4	1215	4	205	15	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4969636at2759__code1	5	1155	4	322	65	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4969636at2759__code1	10	1185	10	462	324	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4969636at2759__code1	4	1155	4	384	106	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4969990at2759__code1	10	1056	9	447	358	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4969990at2759__code1	10	1056	10	285	185	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4969990at2759__code1	10	1056	10	299	259	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4969990at2759__code1	10	1056	10	284	208	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4969990at2759__code1	7	1029	7	330	198	none_recorded	ready_for_supported_tree_diagnostic
Candida__4969990at2759__code12	4	1035	4	332	118	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4969990at2759__code1	6	1056	6	434	235	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4969990at2759__code1	10	1056	10	240	95	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4969990at2759__code1	4	1050	4	405	90	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4969990at2759__code1	5	1053	4	271	42	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4969990at2759__code1	9	1056	9	365	142	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4969990at2759__code1	4	957	4	331	55	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4970387at2759__code1	9	456	9	255	153	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4970387at2759__code1	9	420	9	165	106	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4970387at2759__code1	10	438	10	123	113	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4970387at2759__code1	9	438	9	115	76	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4970387at2759__code1	6	456	6	128	69	none_recorded	ready_for_supported_tree_diagnostic
Candida__4970387at2759__code12	4	450	4	160	51	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4970387at2759__code1	7	444	7	228	131	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4970387at2759__code1	8	456	8	98	39	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4970387at2759__code1	4	387	4	187	39	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4970387at2759__code1	4	432	4	83	11	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4970387at2759__code1	5	462	3	135	35	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4970387at2759__code1	10	450	10	206	145	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4970387at2759__code1	4	423	4	136	24	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4970538at2759__code1	10	2871	9	1428	1152	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4970538at2759__code1	10	2862	10	877	611	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4970538at2759__code1	9	2859	9	901	791	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4970538at2759__code1	10	2862	10	1953	679	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4970538at2759__code1	7	2820	7	857	461	none_recorded	ready_for_supported_tree_diagnostic
Candida__4970538at2759__code12	4	2784	4	791	201	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4970538at2759__code1	6	2844	6	1437	767	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4970538at2759__code1	10	2826	10	736	327	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4970538at2759__code1	4	2724	4	1662	203	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4970538at2759__code1	5	2826	5	1479	588	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4970538at2759__code1	4	2595	4	700	112	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4970538at2759__code1	10	2829	10	1146	829	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4970538at2759__code1	4	2454	4	1704	138	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4970538at2759__code1	4	2841	4	1016	228	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4971272at2759__code1	10	1329	10	562	427	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4971272at2759__code1	10	1338	10	335	225	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4971272at2759__code1	10	1332	10	315	255	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4971272at2759__code1	10	1329	10	301	219	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4971272at2759__code1	7	1323	7	419	241	none_recorded	ready_for_supported_tree_diagnostic
Candida__4971272at2759__code12	4	1287	4	407	115	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4971272at2759__code1	7	1311	7	572	376	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4971272at2759__code1	10	1311	10	252	112	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4971272at2759__code1	5	1302	5	678	265	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4971272at2759__code1	5	1311	3	343	88	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4971272at2759__code1	10	1329	10	554	397	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4971272at2759__code1	4	1311	4	456	163	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4971272at2759__code1	4	1305	4	397	97	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4974767at2759__code1	10	435	10	169	132	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4974767at2759__code1	9	435	8	97	64	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4974767at2759__code1	9	435	9	112	98	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4974767at2759__code1	9	435	9	101	64	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4974767at2759__code1	7	441	7	130	80	none_recorded	ready_for_supported_tree_diagnostic
Candida__4974767at2759__code12	4	432	4	137	35	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4974767at2759__code1	7	438	7	164	100	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4974767at2759__code1	10	438	10	80	38	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4974767at2759__code1	4	441	4	151	30	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4974767at2759__code1	4	441	4	48	6	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4974767at2759__code1	10	441	10	139	79	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4974767at2759__code1	4	438	4	111	29	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4974767at2759__code1	4	306	4	127	30	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4975094at2759__code1	10	3030	9	1307	1089	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4975094at2759__code1	8	3039	8	854	608	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4975094at2759__code1	10	3036	10	766	687	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4975094at2759__code1	10	3042	10	813	586	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4975094at2759__code1	7	2919	7	842	491	none_recorded	ready_for_supported_tree_diagnostic
Candida__4975094at2759__code12	4	2877	4	841	209	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4975094at2759__code1	6	2958	6	1263	693	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4975094at2759__code1	10	2967	10	715	271	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4975094at2759__code1	4	2874	4	294	37	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4975094at2759__code1	5	2958	4	797	177	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4975094at2759__code1	10	2934	10	1261	836	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4975094at2759__code1	4	2907	4	977	352	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4976279at2759__code1	10	1308	10	783	604	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4976279at2759__code1	10	1248	10	399	249	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4976279at2759__code1	8	1257	8	406	312	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4976279at2759__code1	10	1257	10	454	338	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4976279at2759__code1	7	1062	7	431	252	none_recorded	ready_for_supported_tree_diagnostic
Candida__4976279at2759__code12	4	1164	4	497	143	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4976279at2759__code1	7	1128	7	627	418	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4976279at2759__code1	9	1242	9	343	125	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4976279at2759__code1	4	957	4	571	82	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4976279at2759__code1	4	747	4	462	78	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4976279at2759__code1	4	1098	4	214	11	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4976279at2759__code1	5	1251	3	497	107	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4976279at2759__code1	10	1266	10	604	437	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4976279at2759__code1	4	1086	4	504	107	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4977163at2759__code1	10	561	10	249	201	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4977163at2759__code1	10	555	9	199	128	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4977163at2759__code1	9	555	9	185	160	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4977163at2759__code1	10	552	10	174	124	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4977163at2759__code1	7	549	7	158	89	none_recorded	ready_for_supported_tree_diagnostic
Candida__4977163at2759__code12	4	555	4	184	42	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4977163at2759__code1	6	546	6	285	140	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4977163at2759__code1	10	543	10	119	43	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4977163at2759__code1	4	567	4	74	4	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4977163at2759__code1	5	519	5	117	24	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4977163at2759__code1	10	552	10	261	180	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4977163at2759__code1	4	549	4	204	72	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4977163at2759__code1	4	555	4	242	39	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4977863at2759__code1	9	1866	8	939	704	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4977863at2759__code1	10	1881	10	694	473	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4977863at2759__code1	10	1872	10	672	557	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4977863at2759__code1	10	1866	10	665	462	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4977863at2759__code1	7	1752	7	582	345	none_recorded	ready_for_supported_tree_diagnostic
Candida__4977863at2759__code12	4	1683	4	555	131	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4977863at2759__code1	6	1725	6	910	435	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4977863at2759__code1	10	1755	10	501	195	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4977863at2759__code1	5	1647	5	888	355	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4977863at2759__code1	4	1662	4	314	45	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4977863at2759__code1	10	1752	10	787	504	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4977863at2759__code1	4	1683	4	735	270	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4983000at2759__code1	9	1470	9	664	485	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4983000at2759__code1	10	1467	10	447	240	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4983000at2759__code1	10	1461	10	467	415	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4983000at2759__code1	10	1461	10	408	300	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4983000at2759__code1	7	1416	7	396	214	none_recorded	ready_for_supported_tree_diagnostic
Candida__4983000at2759__code12	4	1122	4	410	76	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4983000at2759__code1	7	1452	7	715	467	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4983000at2759__code1	8	1479	8	282	108	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4983000at2759__code1	5	1476	5	627	266	none_recorded	ready_for_supported_tree_diagnostic
