study_role	lineage_group	length_bin_128	af_mean_plddt_bin	eligible_unique_sequences	sequence_id
ingroup	Zoopagomycota	4	at_least70	9	S073305b2ce152362720ded1edafd49903bb7eb7fb5777b094dd34d657c30fb7c
ingroup	Zoopagomycota	4	at_least70	9	S106e4874040e8f9a266af43eabf1ecb45e9992ff0b9f19be94aedff4f4ec8920
ingroup	Zoopagomycota	4	at_least70	9	S45f55d9a53d0a95605ab52a2ee32cb14253835bdc4c26579cb35bd1915eaa172
outgroup	Amoebozoa	1	at_least70	1	Sc599590eed3f61592ee1535fbcdb24b223468e92dae402f74540d8498348dd31
outgroup	Amoebozoa	2	at_least70	6	S4f806d36cabe4d51ddb317e26ec46791d8bd3ee484a888fd27fcb6d204ac55df
outgroup	Amoebozoa	2	at_least70	6	Sf79944a097609ee5ae1c382e845f9c1980e6e5b44002d2bbfbb4d850d4ea099b
outgroup	Amoebozoa	2	at_least70	6	S7961089ca63b734e4ba0ae0ed7dcacf39e77511e3338c7720403910fba0f06a7
outgroup	Amoebozoa	2	at_least70	6	S8778490f946470e0eb0ef78c7513fb33991071ce33e34c296d05bfcb59cd5797
outgroup	Amoebozoa	2	below70	1	Sbf6d6f1dd43cd4b75f4c2136c9f7e0bf0fe3f7880f11657babdd192d3ccfa23c
outgroup	Amoebozoa	3	at_least70	7	Sa71a413abb79192e381b0879d33f8b0d6ae440187cc7450b603ddfe2b3789906
outgroup	Amoebozoa	3	at_least70	7	S43fcbba0f98de9a32d69a0edee0e9a7a42d6a314263e5eb0671a1f749fd19edd
outgroup	Amoebozoa	3	at_least70	7	S77af74dc29be61e07f36ce00c142a7b7b347f6c605483c22fad498da4cd24430
outgroup	Amoebozoa	3	at_least70	7	S6a86f1a17bb54d02751c90c7325b3dd510b6a97a0c300eca5eee07e56074c9d4
outgroup	Amoebozoa	4	at_least70	4	S50a2b70d9219b1d8e1b9833d043e60573d780699245ea29d324f97e2f2dbd4fe
outgroup	Amoebozoa	4	at_least70	4	S25dee33967dc7a12845d681b313d6e8880d9e22d43f840a43286007c8b349e70
outgroup	Amoebozoa	4	at_least70	4	Sfef5f55ab234fffdbd098d525b0c514678aeded15edb6ed8b10364a27c1e1d63
outgroup	Amoebozoa	4	at_least70	4	Sb2a067e1a94cf09f634022552fae95916263e9a742a467d4bc5bd24459bcdd0c
outgroup	Apusomonadida	1	at_least70	1	Sae84d8520b711ba3ec2d3a62012572920307376f45831e19e2ad7852dd73ab49
outgroup	Apusomonadida	3	at_least70	1	S3834a2aa4c138be7df334eb2996d9519542f5ee78e62a2c2750379bafa5ab027
outgroup	Apusomonadida	4	at_least70	1	S2e2d52984c613590319ad6ff80c14a7c13c09c8a7d25f9b5cae7baf0690d4568
outgroup	Choanoflagellatea	1	at_least70	1	S90707dcb370fae0794dbc1a58389f3afec734ccd701473b7a139a7f6c3be5833
outgroup	Choanoflagellatea	2	at_least70	4	Sde587ad0914a9d71eef81b9b9ec80657f32f7b168eaff84a5a2adc5c18d221b3
outgroup	Choanoflagellatea	2	at_least70	4	Sd918016dc82496ca7059ee964607727d35119b32acc15f3c6d890f1aa8d06b17
outgroup	Choanoflagellatea	2	at_least70	4	S8954640ad06c29f2949b8715e594952ad4f46ab20dd7142cc8dcd8f974b3e50f
outgroup	Choanoflagellatea	2	at_least70	4	S32eec11ea1310ad6486c2d959d09955d7e8a0b5f89684a383b9b32629a669246
outgroup	Choanoflagellatea	3	at_least70	1	Sf224a78266be17313f8f6b7cf912d002d446ab43c755897c484d661125a81cdd
outgroup	Choanoflagellatea	4	at_least70	4	Se6ac01ff80c8ac3aa65497e22242d6105cac84ca92ac1e62475fa2b7cfc6515a
outgroup	Choanoflagellatea	4	at_least70	4	S90b388dd791720787a1ad9268af4253680c1e31679a40510315cc9da8ab10d59
outgroup	Choanoflagellatea	4	at_least70	4	Sd5aa3a3acbe028335cc1d1a174943b3e206695625cc57b411a27ed8775d78ee1
outgroup	Choanoflagellatea	4	at_least70	4	S735637a0194874e0b644b92a6f54e3ef81479e060eacfb9a8be46682fe9030ef
outgroup	Filasterea	2	at_least70	3	S36e2485603378f9ea8e9a2c34afb1d4e58fcf25c8773b1a625c2962f97e42d08
outgroup	Filasterea	2	at_least70	3	Sc2117ab429e4320877bc30d21638792855c4d0c5f22a9cf7990c6d5f021322c5
outgroup	Filasterea	2	at_least70	3	Scf8fd7d4087abf925a4f076a74633962b45ee6ec06ed1cedb33cecbf98a93904
outgroup	Ichthyosporea	2	at_least70	1	Sa20701c8d2df2c37875e56612b2013a3950d0387cf53c374f6af75002ae2278f
outgroup	Ichthyosporea	3	at_least70	2	S4d6bb2be12f13d339e6f28c03c30348d1d4d2dcf018c4f85c692b17265fb67f0
outgroup	Ichthyosporea	3	at_least70	2	Sdc21463a825a421ab818307749f78e7da52cb34912064e4c57e47187392fb5ec
outgroup	Ichthyosporea	4	at_least70	2	S3f7d594c2612972b9e625c782dcb90e6532ecd2ee6774247eda40640b0861ad1
outgroup	Ichthyosporea	4	at_least70	2	S25050ecaf3e5c8b2b23e44aad162173fd02224f55f3708e49fb3016a2b8c7dd9
outgroup	Metazoa	2	at_least70	9	S64547334be890931e37a76ed88146a1f89f01fcb042bc77c6234f52f5ce11ac5
outgroup	Metazoa	2	at_least70	9	Sab1655fa96192be05fc9aa0377a2435f906f694c5a366f1d8314959d800bc7b1
outgroup	Metazoa	2	at_least70	9	Sb70f9a86383cb1c7fe97ba6d56cbd62bc336a62f0407486ea30ff4ec9665a87b
outgroup	Metazoa	2	at_least70	9	Sb0bc86c5531b8082f722bf7f39d74b0fb384ce88e178039e3a36f67bd1ae421f
outgroup	Metazoa	2	below70	1	S853d54433c92069a89a132729385ebb7232b0925e3fdf353735e44e2e6c9bcaa
outgroup	Metazoa	3	at_least70	9	S0696d0bade42258be926d6bbee78fa73fb295da08f36a5810cfc414611700abd
outgroup	Metazoa	3	at_least70	9	S11c9b9fbadb9c8d7fa7595429449b38a8a3e210dd1e1d4d41f37308f2ad7063a
outgroup	Metazoa	3	at_least70	9	S40bd4f305367299702c578c8aef2e0fecc8ad021e50b4296d47e195667e5750d
outgroup	Metazoa	3	at_least70	9	S00e1a550fce80f80d509614a39c3b03d90f2cf7a57564d71a0816a3e41e7d8f6
outgroup	Metazoa	4	at_least70	10	S35e770d677631aa5d723604f936fab2d4481953dcf58facb893746b2cd62fbbd
outgroup	Metazoa	4	at_least70	10	S0975f60d77a6d6e520c35c2be438d84fa47a9b78eaffb34b949f7c68490b34ef
outgroup	Metazoa	4	at_least70	10	Saecf2f9ed3a66b78e5374c5e035cf668ea0c4f497972276288864f720832d198
outgroup	Metazoa	4	at_least70	10	Sb1adcaddcd03a965dc7af2592c60cabee45774183d0e6e5b08ceade79d8560d8
outgroup	Nucleariida	1	at_least70	1	S22cbfa7133bbd473d942485401dd16052680e06f7263a52d0b29f6e44bab2f2f
outgroup	Nucleariida	1	below70	1	S6d5d2d2a363ec0bbde4fbce47d82c0301abfcd4d9edd163b5eb1e1ed208dc008
outgroup	Nucleariida	4	at_least70	1	Sd482b4c269fb403fb458724e2fed3292144e80bb1cc7db2004e08b8ff06fd8b0
outgroup	Nucleariida	4	below70	1	Sc8f8838ba9d1dfc1e9eb56e167d3cfef8840057b917249917d557eda5e203b01
