manual_review_rank	species_a	species_b	marker	taxon_a	taxon_b	same_model_coordinates	pfam_accession	pfam_name	hit_a	hit_b	domain_a_start	domain_a_end	domain_b_start	domain_b_end	domain_shared_positions	domain_compared_residues	whole_marker_compared_residues	whole_marker_rmsd_angstrom	domain_sites_under_whole_marker_fit_rmsd_angstrom	domain_own_fit_rmsd_angstrom	domain_fit_improvement_angstrom	domain_uncorrected_sequence_difference	local_distance_pairs	local_mean_absolute_distance_change_angstrom	pae10_local_pairs	pae10_local_pair_fraction	pae10_local_mean_absolute_distance_change_angstrom
185	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4971272at2759	F470096	F4918	False	PF18098.7	RPN5_C	H00062064	H00027628	447	479	405	437	32	32	345	1.58355242566189	1.0334258822315485	0.22011055756327172	0.8133153246682768	0.4375	183	0.0989847452353751	183	1.0	0.0989847452353751
186	Cladosporium halotolerans	Sugiyamaella lignohabitans	5001660at2759	F1052096	F796027	False	PF08155.17	NOGCT	H00086476	H00032956	403	455	402	455	53	53	547	1.5509419554446164	1.0673335040751994	0.268346085074859	0.7989874190003404	0.39622641509433965	362	0.1716716277111179	362	1.0	0.1716716277111179
187	Lithohypha guttulata	Ophiostoma piceae	539632at2759	F1690604	F61273	False	PF00575.30	S1	H00084714	H00097048	19	93	3	68	66	66	228	1.010624994382638	0.9245349996819349	0.14631627957935048	0.7782187201025844	0.10606060606060606	1024	0.06814220363074497	1024	1.0	0.06814220363074497
188	Lithohypha guttulata	Botrytis cinerea	539632at2759	F1690604	F40559	False	PF00575.30	S1	H00084714	H00036434	19	93	14	88	75	75	238	0.8072143581695814	0.821973136095589	0.07242457691760217	0.7495485591779868	0.05333333333333334	1303	0.043232107057733796	1303	1.0	0.043232107057733796
189	Saxophila tyrrhenica	Pseudovirgaria hyperparasitica	5000823at2759	F1690608	F470096	False	PF01399.34	PCI	H00157372	H00090747	439	521	433	515	77	76	663	3.4515479243513183	3.8128858735276774	3.0721498740478	0.7407359994798774	0.2236842105263158	1110	1.1422304468981668	1096	0.9873873873873874	0.9918585405189204
190	Aulographum hederae	Colletotrichum costaricense	5002573at2759	F1176130	F1209916	False	PF26356.1	Pelota_N	H00100613	H00098289	1	138	2	90	85	77	281	2.2257906279218593	2.3288260517694472	1.5889044661739915	0.7399215855954557	0.45454545454545453	971	0.396407635440777	968	0.9969104016477858	0.3785211479259777
191	Aulographum hederae	Colletotrichum tamarilloi	5002573at2759	F1176130	F1209934	False	PF26356.1	Pelota_N	H00100613	H00098289	1	138	2	90	85	77	281	2.2257906279218593	2.3288260517694472	1.5889044661739915	0.7399215855954557	0.45454545454545453	971	0.396407635440777	968	0.9969104016477858	0.3785211479259777
192	Aulographum hederae	Colletotrichum lupini	5002573at2759	F1176130	F145971	False	PF26356.1	Pelota_N	H00100613	H00098289	1	138	2	90	85	77	281	2.2257906279218593	2.3288260517694472	1.5889044661739915	0.7399215855954557	0.45454545454545453	971	0.396407635440777	968	0.9969104016477858	0.3785211479259777
193	Aulographum hederae	Colletotrichum abscissum	5002573at2759	F1176130	F1671311	False	PF26356.1	Pelota_N	H00100613	H00098289	1	138	2	90	85	77	281	2.2257906279218593	2.3288260517694472	1.5889044661739915	0.7399215855954557	0.45454545454545453	971	0.396407635440777	968	0.9969104016477858	0.3785211479259777
194	Pseudovirgaria hyperparasitica	Trichoderma harzianum	5002573at2759	F470096	F5544	False	PF26356.1	Pelota_N	H00158156	H00029913	1	137	1	131	113	104	320	1.6785616088407265	1.371175703109449	0.6325718109319504	0.7386038921774986	0.41346153846153844	1958	0.23135865637528777	1958	1.0	0.23135865637528777
195	Aulographum hederae	Trichoderma harzianum	5002573at2759	F1176130	F5544	False	PF26356.1	Pelota_N	H00100613	H00029913	1	138	1	131	113	106	328	1.5290498157378944	1.308119361660998	0.5713208425910782	0.7367985190699199	0.46226415094339623	1987	0.22847777413737932	1987	1.0	0.22847777413737932
196	Saccharomyces kudriavzevii	Pseudovirgaria hyperparasitica	340246at2759	F114524	F470096	False	PF00270.36	DEAD	H00081066	H00065441	237	406	292	461	167	165	403	1.839213138358848	1.3906875209686202	0.6599850969612384	0.7307024240073818	0.32727272727272727	3767	0.24729034248301762	3767	1.0	0.24729034248301762
197	Colletotrichum gloeosporioides	Pachysolen tannophilus	5002573at2759	F474922	F4918	False	PF03464.21	eRF1_2	H00090457	H00052718	166	290	143	274	120	115	325	2.036338129907427	2.378279481355402	1.6596479655453273	0.7186315158100745	0.6521739130434783	2329	0.5949467965233388	2326	0.9987118935165307	0.5940115252194802
198	Colletotrichum costaricense	Botrytis cinerea	539632at2759	F1209916	F40559	False	PF00575.30	S1	H00155027	H00036434	17	91	14	88	75	75	236	0.9006266994146196	0.7748473193138189	0.06556143324125695	0.7092858860725619	0.013333333333333334	1308	0.036836731020340456	1307	0.9992354740061162	0.03678867546159725
199	Colletotrichum tamarilloi	Botrytis cinerea	539632at2759	F1209934	F40559	False	PF00575.30	S1	H00155027	H00036434	17	91	14	88	75	75	236	0.9006266994146196	0.7748473193138189	0.06556143324125695	0.7092858860725619	0.013333333333333334	1308	0.036836731020340456	1307	0.9992354740061162	0.03678867546159725
200	Colletotrichum lupini	Botrytis cinerea	539632at2759	F145971	F40559	False	PF00575.30	S1	H00155027	H00036434	17	91	14	88	75	75	236	0.9006266994146196	0.7748473193138189	0.06556143324125695	0.7092858860725619	0.013333333333333334	1308	0.036836731020340456	1307	0.9992354740061162	0.03678867546159725
201	Colletotrichum abscissum	Botrytis cinerea	539632at2759	F1671311	F40559	False	PF00575.30	S1	H00155027	H00036434	17	91	14	88	75	75	236	0.9006266994146196	0.7748473193138189	0.06556143324125695	0.7092858860725619	0.013333333333333334	1308	0.036836731020340456	1307	0.9992354740061162	0.03678867546159725
202	Botrytis cinerea	Colletotrichum fioriniae	539632at2759	F40559	F710243	False	PF00575.30	S1	H00036434	H00155027	14	88	17	91	75	75	236	0.9006266994146166	0.7748473193138172	0.06556143324125649	0.7092858860725607	0.013333333333333334	1308	0.036836731020340456	1307	0.9992354740061162	0.03678867546159725
203	Aulographum hederae	Pseudovirgaria hyperparasitica	5002573at2759	F1176130	F470096	False	PF26356.1	Pelota_N	H00100613	H00158156	1	138	1	137	115	105	327	1.8994237302655457	1.338171908858435	0.6329267790783965	0.7052451297800385	0.4380952380952381	1965	0.23048176810441795	1965	1.0	0.23048176810441795
204	Waltiozyma pijperi	Patellaria atrata	5005892at2759	F599730	F703506	False	PF09202.18	Rio2_N	H00152135	H00080837	8	91	8	91	82	74	249	1.5260738787168766	1.1052439301344736	0.4001975018739062	0.7050464282605675	0.4189189189189189	1350	0.20361778616156948	1350	1.0	0.20361778616156948
205	Pseudovirgaria hyperparasitica	Waltiozyma pijperi	5005892at2759	F470096	F599730	False	PF09202.18	Rio2_N	H00092253	H00152135	8	90	8	91	81	74	251	1.5000305235795495	1.0423226209646548	0.33770417518887674	0.704618445775778	0.36486486486486486	1377	0.17442282092041703	1377	1.0	0.17442282092041703
206	Pseudovirgaria hyperparasitica	Trichoderma harzianum	5002573at2759	F470096	F5544	False	PF03464.21	eRF1_2	H00158157	H00029914	148	276	140	268	118	109	320	1.6785616088407265	2.003188172832526	1.3004427841839323	0.7027453886485935	0.48623853211009177	2100	0.40297202993173437	2095	0.9976190476190476	0.4010682651762904
207	Pseudovirgaria hyperparasitica	Colletotrichum gloeosporioides	5002573at2759	F470096	F474922	False	PF26356.1	Pelota_N	H00158156	H00090456	1	137	28	157	114	102	318	1.6977592201892884	1.7934233910630388	1.0922136765180237	0.7012097145450151	0.4019607843137255	1909	0.2652565752963226	1903	0.9968569931901519	0.2592632353078596
208	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4813267at2759	F470096	F4918	False	PF23037.2	KOWx_SPT5	H00080342	H00059024	583	631	618	666	45	42	427	4.5708064538238595	1.520856111821612	0.8461730138861019	0.6746830979355101	0.5952380952380952	596	0.32603211131216114	596	1.0	0.32603211131216114
209	Eremomyces bilateralis	Scedosporium apiospermum	3643464at2759	F1341166	F563466	False	PF17681.7	GCP_N_terminal	H00148532	H00136322	219	524	219	520	257	233	464	1.502559716425898	1.5038503290320906	0.8361446349427216	0.667705694089369	0.30042918454935624	4749	0.18841362960483501	4740	0.998104864181933	0.18760553744412875
210	Colletotrichum costaricense	Pseudovirgaria hyperparasitica	5002573at2759	F1209916	F470096	False	PF03464.21	eRF1_2	H00098290	H00158157	99	228	148	276	118	102	277	1.82789798165452	1.8322975321502535	1.1673900210908337	0.6649075110594198	0.5	1981	0.42573788113651956	1978	0.9984856133266027	0.4232351696120033
211	Colletotrichum tamarilloi	Pseudovirgaria hyperparasitica	5002573at2759	F1209934	F470096	False	PF03464.21	eRF1_2	H00098290	H00158157	99	228	148	276	118	102	277	1.82789798165452	1.8322975321502535	1.1673900210908337	0.6649075110594198	0.5	1981	0.42573788113651956	1978	0.9984856133266027	0.4232351696120033
212	Colletotrichum lupini	Pseudovirgaria hyperparasitica	5002573at2759	F145971	F470096	False	PF03464.21	eRF1_2	H00098290	H00158157	99	228	148	276	118	102	277	1.82789798165452	1.8322975321502535	1.1673900210908337	0.6649075110594198	0.5	1981	0.42573788113651956	1978	0.9984856133266027	0.4232351696120033
213	Colletotrichum abscissum	Pseudovirgaria hyperparasitica	5002573at2759	F1671311	F470096	False	PF03464.21	eRF1_2	H00098290	H00158157	99	228	148	276	118	102	277	1.82789798165452	1.8322975321502535	1.1673900210908337	0.6649075110594198	0.5	1981	0.42573788113651956	1978	0.9984856133266027	0.4232351696120033
214	Saccharomyces pastorianus	Pleurostoma richardsiae	5001941at2759	F27292	F41990	False	PF04130.19	GCP_C_terminal	H00067106	H00092257	490	788	529	910	167	85	320	2.192614063317635	2.379128061580059	1.7307587362385792	0.6483693253414797	0.7294117647058823	1059	0.42809807710565934	1059	1.0	0.42809807710565934
215	Pneumocystis carinii	Microthyrium microscopicum	115730at2759	F4754	F703497	False	PF17903.8	KH_KRR1_1st	H00054626	H00081972	51	131	38	118	80	80	226	1.5480918815253533	1.163816891542869	0.5200130406148379	0.6438038509280312	0.325	1465	0.17755698869156386	1465	1.0	0.17755698869156386
216	Pachysolen tannophilus	Sugiyamaella lignohabitans	5001660at2759	F4918	F796027	False	PF17835.7	NOG1_N	H00146445	H00032952	6	164	6	164	159	159	569	2.13404393158462	0.8557366047811279	0.2128775135301357	0.6428590912509922	0.18867924528301888	3062	0.09751376224945327	3062	1.0	0.09751376224945327
217	Botrytis cinerea	Ophiostoma piceae	539632at2759	F40559	F61273	False	PF00575.30	S1	H00036434	H00097048	14	88	3	68	66	66	226	1.115617145073591	0.7852191981764998	0.1448387918884566	0.6403804062880432	0.06060606060606061	1024	0.07045604136621322	1024	1.0	0.07045604136621322
218	Pachysolen tannophilus	Amorphotheca resinae	4695236at2759	F4918	F5101	False	PF08264.20	Anticodon_1	H00047204	H00138810	635	756	836	955	117	117	856	2.662455397146418	1.6348536363911923	0.9968146615243921	0.6380389748668002	0.5384615384615384	1991	0.32262780834900706	1991	1.0	0.32262780834900706
219	Botrytis cinerea	Pachysolen tannophilus	539632at2759	F40559	F4918	False	PF00575.30	S1	H00036434	H00014362	14	88	13	88	75	75	239	1.0631753158127075	0.7427669699907608	0.11191153302571992	0.6308554369650409	0.10666666666666667	1309	0.061701796474208065	1309	1.0	0.061701796474208065
220	Pachysolen tannophilus	Aspergillus flavus	4900375at2759	F4918	F5059	False	PF16922.12	SLD5_C	H00114095	H00067278	176	228	208	266	44	37	154	3.6107176393286258	1.1963958763032512	0.5663758285133624	0.6300200477898887	0.8108108108108109	401	0.3319834886941451	401	1.0	0.3319834886941451
221	Aulographum hederae	Colletotrichum gloeosporioides	5002573at2759	F1176130	F474922	False	PF26356.1	Pelota_N	H00100613	H00090456	1	138	28	157	114	104	326	2.1396146909588465	2.2654983444675674	1.6519311926529219	0.6135671518146455	0.5	1949	0.4062293882450759	1941	0.995895330938943	0.39359918031927527
222	Colletotrichum costaricense	Trichoderma harzianum	5002573at2759	F1209916	F5544	False	PF03465.21	eRF1_3	H00098291	H00029915	233	335	273	376	97	94	285	1.5989536414680716	1.5228586758215148	0.9096386691307721	0.6132200066907427	0.35106382978723405	1791	0.22638169100828245	1791	1.0	0.22638169100828245
223	Colletotrichum tamarilloi	Trichoderma harzianum	5002573at2759	F1209934	F5544	False	PF03465.21	eRF1_3	H00098291	H00029915	233	335	273	376	97	94	285	1.5989536414680716	1.5228586758215148	0.9096386691307721	0.6132200066907427	0.35106382978723405	1791	0.22638169100828245	1791	1.0	0.22638169100828245
224	Colletotrichum lupini	Trichoderma harzianum	5002573at2759	F145971	F5544	False	PF03465.21	eRF1_3	H00098291	H00029915	233	335	273	376	97	94	285	1.5989536414680716	1.5228586758215148	0.9096386691307721	0.6132200066907427	0.35106382978723405	1791	0.22638169100828245	1791	1.0	0.22638169100828245
225	Colletotrichum abscissum	Trichoderma harzianum	5002573at2759	F1671311	F5544	False	PF03465.21	eRF1_3	H00098291	H00029915	233	335	273	376	97	94	285	1.5989536414680716	1.5228586758215148	0.9096386691307721	0.6132200066907427	0.35106382978723405	1791	0.22638169100828245	1791	1.0	0.22638169100828245
226	Colletotrichum costaricense	Colletotrichum gloeosporioides	5002573at2759	F1209916	F474922	False	PF03465.21	eRF1_3	H00098291	H00090458	233	335	300	402	97	94	284	0.9757346692344059	0.7906941290778456	0.18716133214460084	0.6035327969332448	0.0851063829787234	1759	0.07886004814896892	1759	1.0	0.07886004814896892
227	Colletotrichum tamarilloi	Colletotrichum gloeosporioides	5002573at2759	F1209934	F474922	False	PF03465.21	eRF1_3	H00098291	H00090458	233	335	300	402	97	94	284	0.9757346692344059	0.7906941290778456	0.18716133214460084	0.6035327969332448	0.0851063829787234	1759	0.07886004814896892	1759	1.0	0.07886004814896892
228	Colletotrichum lupini	Colletotrichum gloeosporioides	5002573at2759	F145971	F474922	False	PF03465.21	eRF1_3	H00098291	H00090458	233	335	300	402	97	94	284	0.9757346692344059	0.7906941290778456	0.18716133214460084	0.6035327969332448	0.0851063829787234	1759	0.07886004814896892	1759	1.0	0.07886004814896892
229	Colletotrichum abscissum	Colletotrichum gloeosporioides	5002573at2759	F1671311	F474922	False	PF03465.21	eRF1_3	H00098291	H00090458	233	335	300	402	97	94	284	0.9757346692344059	0.7906941290778456	0.18716133214460084	0.6035327969332448	0.0851063829787234	1759	0.07886004814896892	1759	1.0	0.07886004814896892
230	Aspergillus puulaauensis	Microthyrium microscopicum	115730at2759	F1220207	F703497	False	PF17903.8	KH_KRR1_1st	H00069357	H00081972	38	118	38	118	80	80	227	1.0490527052365806	0.7847436783022985	0.195031479562035	0.5897121987402635	0.1875	1461	0.10087760919638449	1461	1.0	0.10087760919638449
231	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	5002573at2759	F470096	F4918	False	PF03465.21	eRF1_3	H00158158	H00052719	285	388	278	378	97	96	326	1.993895755309917	2.19477987400562	1.625237597834526	0.569542276171094	0.53125	1852	0.6106569987103347	1827	0.9865010799136069	0.5190687708940306
232	Eremomyces bilateralis	Scedosporium apiospermum	3643464at2759	F1341166	F563466	False	PF04130.19	GCP_C_terminal	H00148533	H00136323	527	890	523	864	238	225	464	1.502559716425898	1.4612876564721193	0.8945995596200756	0.5666880968520437	0.29333333333333333	4527	0.18474874175792458	4523	0.9991164126352993	0.1819632941426411
233	Saccharomyces pastorianus	Pseudovirgaria hyperparasitica	5001941at2759	F27292	F470096	False	PF17681.7	GCP_N_terminal	H00067105	H00040323	60	410	1	328	268	193	302	2.257965659857016	2.4749201867210413	1.9207787455485155	0.5541414411725258	0.7098445595854922	3408	0.728712393875437	3381	0.9920774647887324	0.7175652425383757
234	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	5002573at2759	F470096	F4918	False	PF26356.1	Pelota_N	H00158156	H00052717	1	137	1	135	115	105	326	1.993895755309917	1.215674353595334	0.6641794084891345	0.5514949451061996	0.638095238095238	1968	0.338203466705884	1968	1.0	0.338203466705884
235	Pseudovirgaria hyperparasitica	Ophiostoma piceae	539632at2759	F470096	F61273	False	PF00575.30	S1	H00061923	H00097048	14	88	3	68	66	66	235	0.841741326891394	0.689727692848306	0.1389219404872198	0.5508057523610862	0.07575757575757576	1025	0.06621632811741114	1025	1.0	0.06621632811741114
236	Fusarium pseudograminearum	Pestalotiopsis fici	4911644at2759	F101028	F393283	False	PF18004.7	RPN2_C	H00121782	H00076432	867	1036	948	1129	66	45	687	0.8343995188608616	1.2099512990740822	0.6599479858558297	0.5500033132182525	0.17777777777777778	217	0.25362961627455965	217	1.0	0.25362961627455965
237	Lithohypha guttulata	Pseudovirgaria hyperparasitica	539632at2759	F1690604	F470096	False	PF00575.30	S1	H00084714	H00061923	19	93	14	88	75	75	242	0.7296479224992476	0.6264325783896335	0.08662620615953559	0.5398063722300979	0.06666666666666667	1304	0.046450655288480025	1304	1.0	0.046450655288480025
238	Colletotrichum costaricense	Colletotrichum gloeosporioides	5002573at2759	F1209916	F474922	False	PF03464.21	eRF1_2	H00098290	H00090457	99	228	166	290	120	106	284	0.9757346692344059	0.7622139911339622	0.23594179304926188	0.5262721980847003	0.12264150943396226	2098	0.10358898767042998	2096	0.9990467111534795	0.1035764522051642
239	Colletotrichum tamarilloi	Colletotrichum gloeosporioides	5002573at2759	F1209934	F474922	False	PF03464.21	eRF1_2	H00098290	H00090457	99	228	166	290	120	106	284	0.9757346692344059	0.7622139911339622	0.23594179304926188	0.5262721980847003	0.12264150943396226	2098	0.10358898767042998	2096	0.9990467111534795	0.1035764522051642
240	Colletotrichum lupini	Colletotrichum gloeosporioides	5002573at2759	F145971	F474922	False	PF03464.21	eRF1_2	H00098290	H00090457	99	228	166	290	120	106	284	0.9757346692344059	0.7622139911339622	0.23594179304926188	0.5262721980847003	0.12264150943396226	2098	0.10358898767042998	2096	0.9990467111534795	0.1035764522051642
241	Colletotrichum abscissum	Colletotrichum gloeosporioides	5002573at2759	F1671311	F474922	False	PF03464.21	eRF1_2	H00098290	H00090457	99	228	166	290	120	106	284	0.9757346692344059	0.7622139911339622	0.23594179304926188	0.5262721980847003	0.12264150943396226	2098	0.10358898767042998	2096	0.9990467111534795	0.1035764522051642
242	Pestalotiopsis fici	Pseudovirgaria hyperparasitica	4911644at2759	F393283	F470096	False	PF18004.7	RPN2_C	H00076432	H00002937	948	1129	911	1085	69	41	684	1.1921516605946436	1.2653695419795112	0.7425167014748596	0.5228528405046516	0.34146341463414637	185	0.2379033932962422	185	1.0	0.2379033932962422
243	Pneumocystis carinii	Pachysolen tannophilus	115730at2759	F4754	F4918	False	PF17903.8	KH_KRR1_1st	H00054626	H00121304	51	131	39	119	79	79	227	1.1154911738942404	0.6983967568990719	0.18197779073486897	0.5164189661642029	0.27848101265822783	1429	0.08517490924469649	1429	1.0	0.08517490924469649
244	Colletotrichum costaricense	Trichoderma harzianum	5002573at2759	F1209916	F5544	False	PF03464.21	eRF1_2	H00098290	H00029914	99	228	140	268	124	106	285	1.5989536414680716	1.3466240202547828	0.8325846856930241	0.5140393345617587	0.27358490566037735	2132	0.22124031064197475	2130	0.99906191369606	0.22127644397524554
245	Colletotrichum tamarilloi	Trichoderma harzianum	5002573at2759	F1209934	F5544	False	PF03464.21	eRF1_2	H00098290	H00029914	99	228	140	268	124	106	285	1.5989536414680716	1.3466240202547828	0.8325846856930241	0.5140393345617587	0.27358490566037735	2132	0.22124031064197475	2130	0.99906191369606	0.22127644397524554
246	Colletotrichum lupini	Trichoderma harzianum	5002573at2759	F145971	F5544	False	PF03464.21	eRF1_2	H00098290	H00029914	99	228	140	268	124	106	285	1.5989536414680716	1.3466240202547828	0.8325846856930241	0.5140393345617587	0.27358490566037735	2132	0.22124031064197475	2130	0.99906191369606	0.22127644397524554
247	Colletotrichum abscissum	Trichoderma harzianum	5002573at2759	F1671311	F5544	False	PF03464.21	eRF1_2	H00098290	H00029914	99	228	140	268	124	106	285	1.5989536414680716	1.3466240202547828	0.8325846856930241	0.5140393345617587	0.27358490566037735	2132	0.22124031064197475	2130	0.99906191369606	0.22127644397524554
248	Lithohypha guttulata	Microthyrium microscopicum	115730at2759	F1690604	F703497	False	PF17903.8	KH_KRR1_1st	H00012551	H00081972	38	118	38	118	80	80	227	1.0747059904063447	0.9599100573832636	0.44912515652229057	0.5107849008609731	0.2125	1470	0.13374798940605498	1470	1.0	0.13374798940605498
249	Colletotrichum gloeosporioides	Trichoderma harzianum	5002573at2759	F474922	F5544	False	PF03464.21	eRF1_2	H00090457	H00029914	166	290	140	268	120	115	327	1.4003386782525806	1.3678847788893889	0.8584083063584502	0.5094764725309386	0.2956521739130435	2307	0.2728559500053337	2303	0.9982661465106198	0.2730708288388269
250	Saccharomyces kudriavzevii	Pseudovirgaria hyperparasitica	340246at2759	F114524	F470096	False	PF00271.38	Helicase_C	H00081067	H00065442	457	556	501	608	93	82	403	1.839213138358848	2.294215897004867	1.8067086605502223	0.4875072364546449	0.45121951219512196	1309	0.611567414945961	1309	1.0	0.611567414945961
251	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4900375at2759	F470096	F4918	False	PF16922.12	SLD5_C	H00108664	H00114095	176	229	176	228	44	37	155	3.1460766639923596	0.9895050661549849	0.5086308258972045	0.48087424025778036	0.8108108108108109	399	0.35577178341212135	399	1.0	0.35577178341212135
252	Diplodia corticola	Pneumocystis carinii	115730at2759	F236234	F4754	False	PF17903.8	KH_KRR1_1st	H00103676	H00054626	38	118	51	131	80	80	224	1.4145337006171226	0.993722473601759	0.516880721441625	0.476841752160134	0.2375	1467	0.17547554469310878	1467	1.0	0.17547554469310878
253	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	340246at2759	F470096	F4918	False	PF00271.38	Helicase_C	H00065442	H00042529	501	608	491	597	99	87	396	1.6902315058087065	2.2184880272696987	1.745602316154584	0.4728857111151148	0.5172413793103449	1442	0.6315557686654355	1442	1.0	0.6315557686654355
254	Colletotrichum costaricense	Colletotrichum gloeosporioides	5002573at2759	F1209916	F474922	False	PF26356.1	Pelota_N	H00098289	H00090456	2	90	28	157	85	80	284	0.9757346692344059	1.358608085693664	0.8883027397873053	0.47030534590635864	0.15	935	0.20715190433837807	931	0.9957219251336898	0.20741114830445004
255	Colletotrichum tamarilloi	Colletotrichum gloeosporioides	5002573at2759	F1209934	F474922	False	PF26356.1	Pelota_N	H00098289	H00090456	2	90	28	157	85	80	284	0.9757346692344059	1.358608085693664	0.8883027397873053	0.47030534590635864	0.15	935	0.20715190433837807	931	0.9957219251336898	0.20741114830445004
256	Colletotrichum lupini	Colletotrichum gloeosporioides	5002573at2759	F145971	F474922	False	PF26356.1	Pelota_N	H00098289	H00090456	2	90	28	157	85	80	284	0.9757346692344059	1.358608085693664	0.8883027397873053	0.47030534590635864	0.15	935	0.20715190433837807	931	0.9957219251336898	0.20741114830445004
257	Colletotrichum abscissum	Colletotrichum gloeosporioides	5002573at2759	F1671311	F474922	False	PF26356.1	Pelota_N	H00098289	H00090456	2	90	28	157	85	80	284	0.9757346692344059	1.358608085693664	0.8883027397873053	0.47030534590635864	0.15	935	0.20715190433837807	931	0.9957219251336898	0.20741114830445004
258	Aulographum hederae	Pseudovirgaria hyperparasitica	5002573at2759	F1176130	F470096	False	PF03465.21	eRF1_3	H00100615	H00158158	282	386	285	388	98	97	327	1.8994237302655457	1.904070247054915	1.4367713150634276	0.4672989319914873	0.4020618556701031	1874	0.43817751517268655	1851	0.987726787620064	0.3459096737907943
259	Pleurostoma richardsiae	Waltiozyma pijperi	5005892at2759	F41990	F599730	False	PF09202.18	Rio2_N	H00071095	H00152135	8	92	8	91	82	78	254	1.6251975443414728	1.3404913033341135	0.875184950220557	0.4653063531135565	0.3974358974358974	1465	0.266157931429663	1465	1.0	0.266157931429663
260	Aspergillus puulaauensis	Diplodia corticola	115730at2759	F1220207	F236234	False	PF17903.8	KH_KRR1_1st	H00069357	H00103676	38	118	38	118	80	80	224	0.8498458028297927	0.6020841632380676	0.1425998567995912	0.4594843064384764	0.0875	1466	0.08162394677318786	1466	1.0	0.08162394677318786
261	Eremomyces bilateralis	Pseudovirgaria hyperparasitica	3643464at2759	F1341166	F470096	False	PF17681.7	GCP_N_terminal	H00148532	H00163248	219	524	211	515	257	233	475	1.110505720079196	0.9115052480076898	0.45769109570162425	0.4538141523060656	0.22317596566523606	4729	0.13548627632895105	4727	0.9995770776062592	0.13553346090814714
262	Aspergillus nidulans	Pseudovirgaria hyperparasitica	5001941at2759	F162425	F470096	False	PF17681.7	GCP_N_terminal	H00051082	H00040323	167	504	1	328	268	229	478	1.1293945030678032	1.116162527297713	0.6655251539908084	0.45063737330690457	0.2445414847161572	4337	0.2261078752407276	4317	0.9953885174083468	0.22616543005538894
263	Pachysolen tannophilus	Patellaria atrata	5005892at2759	F4918	F703506	False	PF09202.18	Rio2_N	H00125527	H00080837	8	91	8	91	82	73	238	1.025966653303195	0.8542704781374411	0.4071406216092814	0.4471298565281597	0.3972602739726027	1335	0.19922714132437028	1335	1.0	0.19922714132437028
264	Venustampulla echinocandica	Pachysolen tannophilus	4900375at2759	F2656787	F4918	False	PF05916.17	Sld5	H00118969	H00114094	75	151	80	150	64	64	116	3.827898578303947	1.478137509968621	1.0317319979466189	0.44640551202200207	0.65625	653	0.4349639846349484	653	1.0	0.4349639846349484
265	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4987397at2759	F470096	F4918	False	PF17207.10	MCM_OB	H00087560	H00002801	400	528	327	455	127	125	596	2.0551533109962565	0.7002241010345004	0.2562773947312339	0.4439467063032665	0.272	1822	0.13587051117769983	1822	1.0	0.13587051117769983
266	Fusarium fujikuroi	Polychaeton citri	5015403at2759	F5127	F705562	False	PF03147.20	FDX-ACB	H00119548	H00107469	383	484	426	501	61	61	313	1.6878914083606518	0.8853661974463094	0.44963031703979245	0.43573588040651695	0.2786885245901639	747	0.21657608090681585	747	1.0	0.21657608090681585
267	Saccharomyces kudriavzevii	Pachysolen tannophilus	340246at2759	F114524	F4918	False	PF00271.38	Helicase_C	H00081067	H00042529	457	556	491	597	93	81	398	0.6695403734365981	0.6631745026839572	0.24498470950044487	0.4181897931835123	0.2222222222222222	1274	0.10021759579288594	1274	1.0	0.10021759579288594
268	Pseudovirgaria hyperparasitica	Colletotrichum gloeosporioides	5002573at2759	F470096	F474922	False	PF03464.21	eRF1_2	H00158157	H00090457	148	276	166	290	118	109	318	1.6977592201892884	1.8764931357554697	1.4585712434631797	0.41792189229229004	0.5045871559633027	2087	0.49555563993173246	2082	0.9976042165788213	0.4924637146856525
269	Colletotrichum costaricense	Trichoderma harzianum	5002573at2759	F1209916	F5544	False	PF26356.1	Pelota_N	H00098289	H00029913	2	90	1	131	85	82	285	1.5989536414680716	1.939339515506035	1.5280973792973827	0.41124213620865224	0.36585365853658536	996	0.3504152632065757	992	0.9959839357429718	0.32669562979667005
270	Colletotrichum tamarilloi	Trichoderma harzianum	5002573at2759	F1209934	F5544	False	PF26356.1	Pelota_N	H00098289	H00029913	2	90	1	131	85	82	285	1.5989536414680716	1.939339515506035	1.5280973792973827	0.41124213620865224	0.36585365853658536	996	0.3504152632065757	992	0.9959839357429718	0.32669562979667005
271	Colletotrichum lupini	Trichoderma harzianum	5002573at2759	F145971	F5544	False	PF26356.1	Pelota_N	H00098289	H00029913	2	90	1	131	85	82	285	1.5989536414680716	1.939339515506035	1.5280973792973827	0.41124213620865224	0.36585365853658536	996	0.3504152632065757	992	0.9959839357429718	0.32669562979667005
